Nome: CURITIBA
Codigo Estacao: 83842
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 923.5
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;436,9;26,8;21,7;18,7;84,4;
2010-02-28;178,7;28,2;22,8;19,4;78,2;
2010-03-31;208,8;25,9;20,6;17,3;82;
2010-04-30;207,3;23,2;17,6;14,1;84;
2010-05-31;104,7;20;15,1;12,1;86,5;
2010-06-30;86,4;19,8;13,9;10,3;82,5;
2010-07-31;132,9;20,7;14,9;11,3;82,5;
2010-08-31;47,1;20,8;13,8;9,4;77,6;
2010-09-30;55;22,6;16,4;12,7;78,7;
2010-10-31;152,5;22,2;16;12,5;81,1;
2010-11-30;98,6;25,1;18,7;14,7;75,9;
2010-12-31;322,1;25,2;19,8;16,5;84,4;
2011-01-31;338,8;27,8;22;18,7;82,6;
2011-02-28;293,1;27;21,6;18,7;82,2;
2011-03-31;75,6;23,3;18,9;16,4;86,6;
2011-04-30;108,2;24;18,6;15,3;82,1;
2011-05-31;33,6;20,4;14,8;11,4;82,3;
2011-06-30;108,8;19,2;12,7;7,9;80,6;
2011-07-31;147,1;20;14,1;10,1;83,2;
2011-08-31;260,9;20,4;14,6;10,6;79,8;
2011-09-30;59,9;21,4;14,9;10,7;79,2;
2011-10-31;191,9;23,2;17,4;13,9;81,4;
2011-11-30;68;23,9;17,7;13,8;77,9;
2011-12-31;128,6;25,6;19,9;15,9;75,6;
2012-01-31;121;26,3;20,4;16,7;79;
2012-02-29;198,8;28,7;22,2;18,4;78,3;
2012-03-31;48;27;20,1;15,6;75,7;
2012-04-30;182,9;24;18,3;15,2;82;
2012-05-31;61,8;20,3;15,2;11,9;85,6;
2012-06-30;225,5;18,3;14;11,2;88,3;
2012-07-31;108,9;19,6;13,6;9,1;81;
2012-08-31;31,5;23,4;15,9;11,3;77,9;
2012-09-30;62,8;24,1;16,8;12,2;75,9;
2012-10-31;160,1;25,7;19,2;14,9;76,8;
2012-11-30;69,4;25;19,1;15,5;78,5;
2012-12-31;254,6;28,6;22,6;18,8;78,1;
2013-01-31;77,6;25,1;19,9;16,7;80,5;
2013-02-28;197,7;26,5;21,1;18,1;81,8;
2013-03-31;134,4;24,3;19,4;16,3;83,6;
2013-04-30;50,8;23,7;17,7;13,9;80,9;
2013-05-31;69,5;21,9;16;12,2;80,4;
2013-06-30;308,9;19,7;14,8;11,9;87,7;
2013-07-31;181,8;19,2;12,9;8,5;82;
2013-08-31;39,4;21,3;14,2;9,2;75,9;
2013-09-30;197;21,8;15,8;11,7;78,9;
2013-10-31;103,5;23,5;17,3;13,5;78,7;
2013-11-30;96,5;24,5;18,9;15,3;80,6;
2013-12-31;49,2;26,9;21,2;17,1;76,5;
2014-01-31;242,5;29,2;22,9;18,6;76,4;
2014-02-28;110,2;28,6;22,7;18,7;76,4;
2014-03-31;232;25,8;20,4;17,1;81,6;
2014-04-30;81;23,2;18,2;15,4;85,2;
2014-05-31;87,1;21;16;12,9;83,7;
2014-06-30;210,4;20,3;15,2;12,2;83,8;
2014-07-31;49;19,6;13,9;10,3;81,8;
2014-08-31;62,7;22,9;15,7;10,6;74,2;
2014-09-30;176,4;23;17,1;13,7;81,4;
2014-10-31;116,8;26;19;14,7;75,2;
2014-11-30;203,2;25,2;19,4;15,9;79,6;
2014-12-31;155,6;26,9;21,2;17,3;78,7;
2015-01-31;180,5;29,1;22,9;19;76,1;
2015-02-28;243,1;27,2;21,4;18,2;81,3;
2015-03-31;193,7;25,6;20,3;17,4;82,9;
2015-04-30;52,2;24;18,3;15,1;81,9;
2015-05-31;115,1;20,6;16;13,4;85,8;
2015-06-30;82,2;21,1;14,8;10,7;82,8;
2015-07-31;189,5;19,9;14,9;11,6;83,7;
2015-08-31;26;24,5;17,4;12,3;73,7;
2015-09-30;129,7;24,6;18,3;14,1;79,2;
2015-10-31;246,7;23,8;18,4;15;85,5;
2015-11-30;241,2;24,2;19,2;16,3;86,3;
2015-12-31;259,5;27;21,8;18,5;81,2;
2016-01-31;164,3;27;21,3;17,7;79,3;
2016-02-29;295,8;27,8;22,3;19,4;82,1;
2016-03-31;92,8;26,2;20,7;17,5;79,8;
2016-04-30;142,7;27,6;21,2;17,1;74,1;
2016-05-31;142,3;19,8;15,1;12,1;85,4;
2016-06-30;130,9;17,8;11,8;7,9;81,6;
2016-07-31;117,1;21,1;14,1;9,5;75,6;
2016-08-31;172,3;21,3;14,8;10,2;79,4;
2016-09-30;95;22,4;15,5;11,3;75,5;
2016-10-31;172,1;22,7;17;13,7;82,8;
2016-11-30;102,7;24,5;18,6;14,8;79,7;
2016-12-31;76;26,4;21,1;17,3;77;
2017-01-31;191,2;28;22;18,7;80,5;
2017-02-28;86,7;29,2;22,8;18,8;76,8;
2017-03-31;40;25,4;20;17,1;83,2;
2017-04-30;69;23,2;17,7;14,6;83,5;
2017-05-31;88,1;21,7;16,8;13,9;86;
2017-06-30;181,3;20,5;14,6;10,9;81,4;
2017-07-31;7,8;20,9;13,7;9;78,1;
2017-08-31;92,9;21,5;15,3;11,6;80,5;
2017-09-30;36,2;26,8;19,1;14,3;72;
2017-10-31;212,2;24;18,2;14,4;80,6;
2017-11-30;129,4;24,4;18,6;14,5;76,1;
2017-12-31;144,8;26,1;20,6;17,4;80,8;
2018-01-31;371,9;26,3;20,9;17,9;81,1;
2018-02-28;96,8;25,6;20;16,6;79,7;
2018-03-31;327,6;27,3;21,5;18,5;82,8;
2018-04-30;23,2;25,9;19,4;15,5;78,2;
2018-05-31;27,4;22,9;16,9;13,5;null;
2018-06-30;null;null;null;null;null;
2018-07-31;null;null;null;null;null;
2018-08-31;null;21,2;14,6;10,8;null;
2018-09-30;null;22,7;16,6;13,4;null;
2018-10-31;null;23;18;15,2;null;
2018-11-30;null;24,6;19,2;15,8;null;
2018-12-31;114,5;29,1;22,3;17,9;70,1;
2019-01-31;190,6;30,3;24,1;19,8;74,2;
2019-02-28;301,2;26,5;21,2;17,9;80,9;
2019-03-31;67,4;26;20,6;17,3;82;
2019-04-30;119,3;25,4;19,9;16,4;81,5;
2019-05-31;206;22,8;17,8;14,8;85,2;
2019-06-30;123,1;22,5;16,3;11,8;80,2;
2019-07-31;12,4;21,3;14,5;9,5;75,8;
2019-08-31;35,5;21,7;14,8;10,3;77,5;
2019-09-30;null;22,7;17;13,6;null;
2019-10-31;null;26,9;19,9;15,7;null;
2019-11-30;63;25,6;19,5;16;null;
2019-12-31;null;26,1;20,4;17;null;
2020-01-31;null;null;null;null;null;
2020-02-29;79,7;25,6;20,3;17,5;null;
2020-03-31;null;27,3;20;16;null;
2020-04-30;null;25,1;17,8;13,6;null;
2020-05-31;null;22,3;15,1;10,7;null;
2020-06-30;null;21,3;16,2;12,9;null;
2020-07-31;null;21,1;14,4;10,1;null;
2020-08-31;null;21,9;14,7;10,4;null;
2020-09-30;null;25,7;18,6;13,8;null;
2020-10-31;null;26,2;19,4;15,4;null;
2020-11-30;null;24,9;18,7;15,1;null;
2020-12-31;null;26,8;21;17,5;null;
2021-01-31;null;26,2;21,4;18,8;null;
2021-02-28;null;27,4;21,4;17,8;null;
2021-03-31;null;27;21;17,8;null;
2021-04-30;null;23,4;17,4;14,2;null;
2021-05-31;null;22,2;15,6;11,1;null;
2021-06-30;null;19;13,8;10,2;null;
2021-07-31;null;20,8;13,1;7,5;null;

