Nome: PARANAGUA
Codigo Estacao: 83844
Latitude: -25.5361111
Longitude: -48.52833332
Altitude: 4.5
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-08-25
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;426,1;30,5;25,8;22,9;85,1;
2010-02-28;402,9;32;27,2;23,9;82,3;
2010-03-31;389,9;29,1;25;22;83,9;
2010-04-30;352,2;26,5;22,2;19,3;84,4;
2010-05-31;100,4;24,1;20;17,2;84,4;
2010-06-30;141,2;23,6;18,3;15;84,7;
2010-07-31;181,9;22,2;18,1;15,5;88,8;
2010-08-31;69,6;21,7;16,8;14;84,7;
2010-09-30;113;23,2;19,3;16,8;86,3;
2010-10-31;201;23,3;19,8;17,2;81,1;
2010-11-30;219,4;26,4;22,4;19,5;81,2;
2010-12-31;375,6;27,5;23,6;20,8;84,9;
2011-01-31;370,5;30,8;26,1;23;83,6;
2011-02-28;319,1;30,7;25,8;23;84,1;
2011-03-31;511,3;26,9;23,3;20,9;86,5;
2011-04-30;235;27,1;22,9;19,8;86,1;
2011-05-31;40,7;24,2;19,6;16,8;83,5;
2011-06-30;92,7;22,1;17,3;14;82,5;
2011-07-31;130;21,3;17;14,3;88,5;
2011-08-31;161,1;21,5;17,4;14,6;84,9;
2011-09-30;60,5;22,5;18,2;15;83,6;
2011-10-31;162,3;25;21,1;18,1;83,5;
2011-11-30;146,4;25,7;21,7;18,3;79,9;
2011-12-31;281,1;28,2;23,7;20,4;80,4;
2012-01-31;226,5;29;24,6;21,4;81,7;
2012-02-29;248,9;31,1;26,3;23;82,1;
2012-03-31;46,7;29;24,4;21,1;80,5;
2012-04-30;202,2;27,2;22,8;20,1;84,8;
2012-05-31;147,4;25,2;20,3;17,1;86,6;
2012-06-30;239,8;21,9;17,9;15,3;89,9;
2012-07-31;149,5;22,5;17,5;14,1;84,6;
2012-08-31;15,4;24,2;19,3;16;85;
2012-09-30;61,5;25,1;20,3;17;79,8;
2012-10-31;139,9;26,2;22,2;19,2;83,7;
2012-11-30;127,8;26,8;22,9;20;81,7;
2012-12-31;310,5;30,7;25,9;22,8;81,9;
2013-01-31;203;null;null;21,3;81,6;
2013-02-28;275,2;null;null;22,8;83,5;
2013-03-31;249,1;null;null;20,7;86,4;
2013-04-30;37,7;null;null;18,8;81,4;
2013-05-31;84,8;null;null;16,9;83,9;
2013-06-30;253,8;null;null;16,5;89,2;
2013-07-31;150,5;null;null;13,1;86,5;
2013-08-31;32,8;null;null;13,5;84,1;
2013-09-30;168;null;null;15,7;84,7;
2013-10-31;89,6;null;null;17,8;82,1;
2013-11-30;138,9;null;null;19,7;83,6;
2013-12-31;156,9;29,4;25,4;22;80;
2014-01-31;216,5;31,7;26,9;23,7;80,3;
2014-02-28;237,7;31,5;27,1;23,8;80,2;
2014-03-31;236;28,6;25;22,2;84,5;
2014-04-30;191,7;26,2;22,7;20,3;86,1;
2014-05-31;75,6;24,4;20,6;17,8;85,3;
2014-06-30;110,8;23,1;19,2;16,7;86,3;
2014-07-31;64,4;21,7;17,7;15;86,7;
2014-08-31;60,7;24;18,9;15,4;81,5;
2014-09-30;166;24,6;20,7;17,8;84,3;
2014-10-31;62,6;26,3;22,3;19;79,8;
2014-11-30;143;27,1;23,5;20,4;80;
2014-12-31;258,4;29,9;25,4;22,1;80,8;
2015-01-31;340,3;31,9;26,9;23,3;79,1;
2015-02-28;507,9;30,1;25,6;22,6;83,7;
2015-03-31;334,1;28,5;24,6;21,8;84,9;
2015-04-30;165,8;26,7;23;20;84,6;
2015-05-31;184,8;24,4;20,8;18,3;86;
2015-06-30;95,2;24,4;19,1;15,5;85,6;
2015-07-31;109,8;23;19;16,1;85,6;
2015-08-31;32,4;25,6;20,9;17,7;83,2;
2015-09-30;168,4;25,1;21;18;85,1;
2015-10-31;178,8;23,9;20,9;18,7;89,2;
2015-11-30;279,9;25,8;22,5;20;88,7;
2015-12-31;316,1;30;25,5;22,2;82,9;
2016-01-31;268,9;29,6;25,7;22,4;79,2;
2016-02-29;550,6;29,9;26,2;23,6;83,2;
2016-03-31;149,8;null;null;22,1;82,3;
2016-04-30;126,4;null;null;22,3;79,8;
2016-05-31;187,7;null;null;16,6;87;
2016-06-30;115,5;null;null;12,2;84,9;
2016-07-31;85,8;null;null;13,5;83,9;
2016-08-31;138,2;null;null;14,1;83,9;
2016-09-30;103;null;null;16,2;78,1;
2016-10-31;214;null;null;18,2;82,7;
2016-11-30;105,5;26,2;22,3;19,2;80,3;
2016-12-31;155,7;29,2;24,8;21,5;81,9;
2017-01-31;533,5;31,2;26,7;23,4;81;
2017-02-28;234,7;31,1;26,6;23,4;81,7;
2017-03-31;415,4;28,4;24,5;21,7;85,9;
2017-04-30;110,5;26,1;22,4;19,4;86;
2017-05-31;171,9;24,8;21,2;18,5;87;
2017-06-30;92,6;24;19,4;16,1;83;
2017-07-31;23,9;23,5;18,3;14,7;84,1;
2017-08-31;82,5;23,5;19,3;16,2;82,9;
2017-09-30;119,6;26;21,9;18,8;81,5;
2017-10-31;244,2;26,9;22,5;18,9;80,5;
2017-11-30;82,7;26,7;22,6;19;77,4;
2017-12-31;190,7;28,5;24,5;21,3;79,6;
2018-01-31;429,8;30,1;25,5;22,3;81,9;
2018-02-28;239;29,1;24,9;21,6;78,6;
2018-03-31;416,9;29,5;25,4;22,4;84;
2018-04-30;203,5;29;24,3;20,7;80;
2018-05-31;136,9;26;21,6;18,5;81,9;
2018-06-30;77;22,1;18,4;15,5;85,4;
2018-07-31;16,3;23,3;18,4;15,1;84,6;
2018-08-31;null;21,9;17,7;14,6;79,9;
2018-09-30;23,5;24,6;20,6;17,8;83,6;
2018-10-31;194,8;24,7;21,3;18,5;83,9;
2018-11-30;93,8;26,8;23,1;20;78,9;
2018-12-31;132,7;30,3;25,6;22,1;77,1;
2019-01-31;124,5;33,5;28,2;24,3;78,1;
2019-02-28;274,8;30;25,2;22;82,5;
2019-03-31;168,8;28,8;24,9;22;84,2;
2019-04-30;132,4;28,6;24,2;21,5;83,5;
2019-05-31;196,5;26,1;22,3;19,7;87;
2019-06-30;88,3;26;20,8;17,2;82,5;
2019-07-31;32,3;23,4;18;14,2;82,6;
2019-08-31;30,4;22,5;17,9;14,9;82,7;
2019-09-30;121,5;22,3;18,6;15,9;87,5;
2019-10-31;57,5;27,1;22,5;19,1;81,8;
2019-11-30;128,2;26,6;23;20,5;null;
2019-12-31;null;27,7;24,1;21,4;null;
2020-01-31;null;null;null;null;null;
2020-02-29;null;27,8;24,4;21,7;null;
2020-03-31;null;28,4;24,8;21,7;null;
2020-04-30;null;26,7;22,6;19,3;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;27,1;23,6;21;null;
2020-12-31;null;28,5;24,7;21,6;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;29,2;25,1;22,4;null;
2021-03-31;null;28,4;24,9;22,2;null;
2021-04-30;null;25,6;22,1;19,6;null;
2021-05-31;null;24,1;19,6;16,7;null;
2021-06-30;null;21,7;18,1;15,6;null;
