Nome: SOROCABA
Codigo Estacao: 83851
Latitude: -23.47999999
Longitude: -47.42666666
Altitude: 597.58
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2024-05-17
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;417;29,5;23,9;20,7;81,2;
2010-02-28;46,9;31,7;25,7;21,3;69,4;
2010-03-31;142,1;30,1;23,8;19,8;74,6;
2010-04-30;82,7;27,5;21,5;17,6;73,9;
2010-05-31;30,5;25;18,9;14,6;75,7;
2010-06-30;17,9;24,6;17;12,1;72,2;
2010-07-31;56,6;25,9;18,9;14,3;71,3;
2010-08-31;1,4;26,2;18,1;12,3;62,8;
2010-09-30;53,5;27,9;20,9;16;66,7;
2010-10-31;69,2;27;20,2;15,7;71,2;
2010-11-30;92;29,4;22,6;18;68,1;
2010-12-31;214,8;29,8;23,8;19,9;76,3;
2011-01-31;252,1;30,7;24,9;21;77,9;
2011-02-28;379,5;31,4;25,2;21;73,3;
2011-03-31;118,8;27,8;23,2;20,3;76,1;
2011-04-30;81,8;28,2;22,1;18,1;75,6;
2011-05-31;17,9;24,7;18,1;13,6;74,3;
2011-06-30;56,3;23;15,8;10,8;76,8;
2011-07-31;15,2;25,2;18,1;13,2;72,6;
2011-08-31;63,6;26,2;19;14;68,8;
2011-09-30;1;28,3;19,7;13,8;63,6;
2011-10-31;201,6;27,8;21,6;17,5;71,2;
2011-11-30;64,3;28,1;21,5;16,6;68,8;
2011-12-31;130,9;29,4;23,4;18,8;68,7;
2012-01-31;294,5;28,3;22,4;18,3;76,3;
2012-02-29;107,5;31,8;25,5;20,9;69,7;
2012-03-31;62,8;30,6;23,7;19,1;69,2;
2012-04-30;140;28,4;22,4;18,4;75,6;
2012-05-31;40;24,8;18,8;14,8;75,8;
2012-06-30;222,9;23,6;18,2;14,5;83,6;
2012-07-31;83,4;24,2;17,2;12,7;75,8;
2012-08-31;0;27,3;19,6;13,9;65,6;
2012-09-30;22,5;28,6;21,2;15,9;65,3;
2012-10-31;92,9;31,1;23,7;18,6;66,1;
2012-11-30;126,3;28,7;22,6;18,2;69,7;
2012-12-31;268,1;31,3;25,4;21,5;74;
2013-01-31;179,1;28,1;22,9;19,6;78,4;
2013-02-28;130,4;30,5;24,3;20,5;73,8;
2013-03-31;148,6;28,7;23;19,6;76,7;
2013-04-30;90,9;26,9;21;17;74,7;
2013-05-31;49,8;25,3;19,3;15,1;76,4;
2013-06-30;152,3;23,9;18,3;14,6;82,5;
2013-07-31;49,6;23,6;16,8;12,4;77,7;
2013-08-31;1,5;26,4;18,2;12,3;68,2;
2013-09-30;65,6;27,1;20,3;15,3;72;
2013-10-31;88,2;27,3;21,4;17,2;69,4;
2013-11-30;110,2;29;23,1;18,7;70,1;
2013-12-31;100,8;31;24,5;20,1;68,2;
2014-01-31;116,1;33,1;25,9;21;73,5;
2014-02-28;76,6;33,1;26,5;22;62,3;
2014-03-31;118,7;30;24,1;20,3;73,2;
2014-04-30;146;28;22;18;74;
2014-05-31;36;25,3;19,2;15,2;74,6;
2014-06-30;14;25,3;18,7;14,3;74,6;
2014-07-31;27,4;24,2;17,7;13,2;72,7;
2014-08-31;28,3;27,3;19;13,3;65,4;
2014-09-30;90,2;28,5;21,5;16,5;68,3;
2014-10-31;11;30,7;23,2;18;64,2;
2014-11-30;206,3;29,1;22,9;18,8;70,8;
2014-12-31;236,7;30;24,2;20;75,3;
2015-01-31;143,6;32,6;26,2;21,8;76,5;
2015-02-28;null;null;null;null;null;
2015-03-31;null;28,9;23,2;19,4;82,8;
2015-04-30;null;27,4;21,5;17,5;76,8;
2015-05-31;73,3;24,6;19,4;15,8;83,5;
2015-06-30;6,2;25;18,7;14,2;77;
2015-07-31;124,1;24,1;18,3;14,1;83,5;
2015-08-31;22,5;28,2;20,4;14,7;70,7;
2015-09-30;171,1;27,2;21,1;16,8;75,4;
2015-10-31;101,5;29,9;23,5;19,1;69,6;
2015-11-30;217,5;28,7;23,5;20,1;82;
2015-12-31;179;30;24,4;20,9;77,6;
2016-01-31;205,1;29,4;24,1;20,4;77,5;
2016-02-29;141,1;31,3;25,3;21,3;77,9;
2016-03-31;208,4;30,3;24,2;20,3;76,3;
2016-04-30;23,4;30,9;24,2;19,3;68,9;
2016-05-31;126,1;24,4;19;15,1;78,3;
2016-06-30;181,3;22,9;15,9;12;79,2;
2016-07-31;null;27,3;18,9;13;69,8;
2016-08-31;67,2;26,2;18,7;13,4;77,4;
2016-09-30;76,2;26,6;19,6;14,9;75,4;
2016-10-31;174,4;28,4;21,9;17,5;71,2;
2016-11-30;75,4;28,5;22,4;18,1;73;
2016-12-31;112,4;31;24,2;19,4;72,5;
2017-01-31;255,9;29,9;24,5;20,9;84,4;
2017-02-28;null;32;25,5;20,6;71,8;
2017-03-31;null;29,2;23,5;19,4;76,5;
2017-04-30;null;null;null;null;null;
2017-05-31;167,7;25,2;19,6;15,9;85,7;
2017-06-30;189,4;24,3;18,5;14,5;83,6;
2017-07-31;0;24,5;17,4;12;75,5;
2017-08-31;55,3;25,5;18,7;14;75,8;
2017-09-30;15,4;30,8;22,5;16,2;63,8;
2017-10-31;111,7;29;22,7;18,1;74,9;
2017-11-30;162,7;29,4;22,4;17,6;73,8;
2017-12-31;156,8;31;24,1;19,3;76,8;
2018-01-31;170,5;30,7;24,2;20,2;80,6;
2018-02-28;9,3;30,4;23,9;19,2;74,5;
2018-03-31;203,1;32,7;25,3;20,4;80,9;
2018-04-30;null;null;null;null;null;
2018-05-31;14,5;27;19,9;14,8;75,9;
2018-06-30;20,6;25,6;18,9;14,3;77,4;
2018-07-31;10,1;26,8;18,7;13,1;73,7;
2018-08-31;58,5;24,7;18,2;13,2;77,5;
2018-09-30;77;27,9;20,7;15,4;77;
2018-10-31;135,4;27,6;22;18,4;79,5;
2018-11-30;null;28,9;22,6;18,2;76,7;
2018-12-31;null;32,6;25,3;19,9;70,4;
2019-01-31;null;null;null;null;null;
2019-02-28;206,2;29,8;24,3;19,8;78,3;
2019-03-31;null;29,8;23,7;19,3;81;
2019-04-30;175,6;29,4;23,1;18,6;81,3;
2019-05-31;19,9;26,7;20,8;16,8;83,2;
2019-06-30;null;26,8;20,2;15,4;79,9;
2019-07-31;105,8;24,5;16,8;11,6;79;
2019-08-31;null;null;null;13,7;null;
2019-09-30;63,1;28,6;21,6;16,3;72,9;
2019-10-31;24;31,7;24,1;18,6;65,8;
2019-11-30;135,9;29,8;23,3;18,7;75,1;
2019-12-31;194,8;29,6;23,7;19,4;78,4;
2020-01-31;null;30,4;24,3;20;73,1;
2020-02-29;326,3;29,1;23,6;20,2;82,4;
2020-03-31;130,7;29,7;22,7;17,9;75,1;
2020-04-30;5,4;27,4;20,4;14,6;76,8;
2020-05-31;null;25,2;18,7;13,6;77;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;31,1;23,7;18,2;72,2;
2020-12-31;null;31,2;24,5;20;79,8;
2021-01-31;null;null;null;null;null;
2021-02-28;74,5;30,6;24;19,6;78,2;
2021-03-31;112,8;31,7;24,7;19,7;78,8;
2021-04-30;null;27,9;21,6;17;74,5;
2021-05-31;31,2;25,6;18,6;13,6;79,7;
2021-06-30;13,5;24,5;17,9;13;81,3;
2021-07-31;31,6;24,3;16;10,2;71,3;
2021-08-31;null;25,5;18,6;13,2;69,1;
2021-09-30;12,1;30,9;23;17,2;65,6;
2021-10-31;119,7;26,8;21;16,9;76,3;
2021-11-30;81,5;30;23;17,3;66,2;
2021-12-31;117,1;30,6;23,6;18,8;69;
2022-01-31;207,8;29,8;24,2;20,2;78;
2022-02-28;55,5;31,2;24,4;19,5;72,6;
2022-03-31;147,5;31,4;25;20,7;72,8;
2022-04-30;14,7;29,3;22,6;17,5;70,9;
2022-05-31;48,2;25;18,3;13,2;73,1;
2022-06-30;37,8;24,4;17,6;12,8;77,4;
2022-07-31;6;27,6;19,5;13,4;67,3;
2022-08-31;34,9;25,7;18,7;13,3;68;
2022-09-30;113,3;24,8;18,8;14,3;72,4;
2022-10-31;134,7;29,5;22,4;17,3;70,2;
2022-11-30;81;28,7;21,4;15,9;68,7;
2022-12-31;256;29,9;23,6;19;76,2;
2023-01-31;292,7;29,8;23,7;19,5;78,4;
2023-02-28;297,1;30,3;24,1;20,1;80,9;
2023-03-31;257,6;31,2;24,4;19,6;78,1;
2023-04-30;123,8;27,7;21,5;16,9;76,5;
2023-05-31;22,1;26,6;19,6;14,3;76,2;
2023-06-30;35,4;25,1;17,7;12;78,4;
2023-07-31;12,1;25,7;18,1;12,7;73,6;
2023-08-31;24,2;28,1;20,4;14,4;67,5;
2023-09-30;41,2;32,1;24,1;17,6;67,9;
2023-10-31;284,3;29,2;22,9;18,6;78,6;
2023-11-30;183,5;31,8;24,6;19,5;71,6;
2023-12-31;29,3;33,4;26;19,9;67,1;
2024-01-31;null;null;null;null;null;
2024-02-29;112,7;31,9;25,6;20,8;76,1;
2024-03-31;null;31,3;25,3;20,9;78,8;
2024-04-30;59,1;30,6;24,2;19,3;79,8;
2024-05-31;null;31,2;null;null;74,3;

