Nome: INDAIAL
Codigo Estacao: 83872
Latitude: -26.91361111
Longitude: -49.26805554
Altitude: 72.28
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2018-03-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;485,5;30,9;25,1;21,8;94,3;
2010-02-28;130,9;32,5;26,2;22,6;95,7;
2010-03-31;301,5;29,8;24,2;20,6;95,7;
2010-04-30;262,4;26,6;21,2;18;null;
2010-05-31;197,6;23,4;18,4;15,4;null;
2010-06-30;161,8;21,9;16,5;13,4;null;
2010-07-31;131,9;20,8;16,4;13,6;null;
2010-08-31;85,4;21,9;16;12,6;82,9;
2010-09-30;75,6;24;19,2;16,2;81,6;
2010-10-31;166,9;25,1;19,6;15,9;77,3;
2010-11-30;122,8;28,6;22,2;17,9;77;
2010-12-31;239;28,6;23,1;19,4;83,5;
2011-01-31;426,7;32,7;25,9;22,4;81,9;
2011-02-28;409,1;30,6;24,9;21,9;86,8;
2011-03-31;293,5;27,7;22,7;19,4;86,4;
2011-04-30;49,1;27,1;21,3;17,8;84,7;
2011-05-31;105;23,6;17,8;14,3;84,9;
2011-06-30;84,9;20,5;null;null;83,9;
2011-07-31;207,4;20,6;null;null;89,6;
2011-08-31;365,2;20,7;16,1;13,3;85,2;
2011-09-30;182,6;23,2;17,3;13,5;81,6;
2011-10-31;135,2;26,2;20,8;17,4;80,8;
2011-11-30;80,8;27,3;21,1;16,7;78,1;
2011-12-31;155,7;29,6;23,1;18,8;79,1;
2012-01-31;368,4;30,2;23,9;20,3;81,6;
2012-02-29;110,6;32,2;25,8;22;79,8;
2012-03-31;106,8;30,6;23,6;19,1;76,5;
2012-04-30;148,4;27,1;21,4;17,9;82,4;
2012-05-31;121,1;24,5;18,6;14,9;86;
2012-06-30;190,5;20,8;16,2;13,4;88,8;
2012-07-31;207,7;21,2;15,2;11,2;87;
2012-08-31;37;24,5;19;15,9;83,7;
2012-09-30;57,8;25;19,1;14,8;78,8;
2012-10-31;143;26,4;21,4;17,9;81,2;
2012-11-30;105,7;null;null;null;null;
2012-12-31;149,2;null;null;null;null;
2013-01-31;99;null;null;null;76,4;
2013-02-28;168;null;null;null;82,2;
2013-03-31;155,3;null;null;null;83,6;
2013-04-30;77;null;null;null;81,1;
2013-05-31;106,2;null;null;null;85,1;
2013-06-30;235,1;null;null;null;90,1;
2013-07-31;185,3;null;null;null;86,8;
2013-08-31;156,9;null;null;null;84,3;
2013-09-30;256,4;24,8;18,8;14,8;81,3;
2013-10-31;163,4;26;20,4;16,6;78,9;
2013-11-30;94,3;27,4;22,1;18,3;80,3;
2013-12-31;87,5;31,2;24,9;20,8;76,4;
2014-01-31;327,3;33,7;26,3;22,2;79,1;
2014-02-28;134,2;33,9;26,4;22,1;76,5;
2014-03-31;250,8;30,1;24;20,6;82,7;
2014-04-30;86,6;27;21,7;18,8;84,3;
2014-05-31;100;24,3;18,9;15,9;86;
2014-06-30;384,4;21,9;17,5;15;88,3;
2014-07-31;46,9;21,5;16,6;13,8;87,5;
2014-08-31;96,3;24,5;17,7;13,7;80,5;
2014-09-30;179,8;25,1;19,8;16,6;83,2;
2014-10-31;72,8;28,3;22,2;18,6;77,3;
2014-11-30;137,4;28,8;23,2;19,7;77,6;
2014-12-31;213,8;30,6;24,6;21;81,5;
2015-01-31;95,2;32,8;25,8;22;78,9;
2015-02-28;152,9;31,7;25,2;21,8;82,2;
2015-03-31;219,7;29,9;24,2;20,9;82;
2015-04-30;69,8;27,5;21,8;18,6;82,6;
2015-05-31;181,6;23,7;19;16,5;88,1;
2015-06-30;136,2;22,1;16,3;13,2;87,8;
2015-07-31;170,1;22,3;17,3;14,5;87,8;
2015-08-31;26,4;26,2;20,2;16,9;82,1;
2015-09-30;174,1;25,4;19,9;16,7;84;
2015-10-31;343,7;23,7;20;17,9;90,1;
2015-11-30;173,7;25,8;21,7;19,2;86,3;
2015-12-31;179,7;30,1;24,6;21,6;null;
2016-01-31;null;30,9;24,9;21,5;null;
2016-02-29;146,9;null;null;null;null;
2016-03-31;null;null;null;null;null;
2016-04-30;179,2;29,3;23,4;20,7;null;
2016-05-31;null;22,1;17,7;14,9;null;
2016-06-30;null;19,5;13,8;10,6;null;
2016-07-31;null;21,8;16,2;13,1;null;
2016-08-31;null;22,7;17,1;14,1;null;
2016-09-30;null;24,8;18,7;14,6;null;
2016-10-31;null;24,6;20,1;17,5;null;
2016-11-30;null;28,2;22,4;18,6;null;
2016-12-31;null;28;23;20,1;null;
2017-01-31;null;31,7;25,4;22,1;null;
2017-02-28;null;32,3;26,2;23,1;null;
2017-03-31;null;28,8;23,6;20,8;null;
2017-04-30;null;26,6;21,3;18,5;null;
2017-05-31;null;24,3;20;17,5;null;
2017-06-30;null;22,5;17,3;14,3;null;
2017-07-31;null;null;null;null;null;
2017-08-31;null;null;null;null;null;
2017-09-30;null;null;null;null;null;
2017-10-31;null;null;null;null;null;
2017-11-30;null;null;null;null;null;
2017-12-31;null;null;null;null;null;
2018-01-31;null;null;null;null;null;
2018-02-28;null;null;null;null;null;
2018-03-31;null;null;null;null;null;

