Nome: IRAI
Codigo Estacao: 83881
Latitude: -27.189451
Longitude: -53.253338
Altitude: 255.39
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;163,6;32;25,6;21,1;77,8;
2010-02-28;159,5;33,6;26,5;21,8;75,4;
2010-03-31;199,9;30,8;23,4;18,3;78,1;
2010-04-30;378,6;26,8;19,6;15;80,5;
2010-05-31;180,1;21,5;15,9;12,3;87,8;
2010-06-30;76;22,5;15,5;11,2;85,2;
2010-07-31;182,2;21,9;14,5;9,7;84,2;
2010-08-31;72;23,8;15,7;10,1;74,7;
2010-09-30;176,2;25,5;18,8;13,8;75;
2010-10-31;145,4;26,7;19,6;13,9;69,9;
2010-11-30;68,2;29,9;21,8;15,1;66,5;
2010-12-31;318,5;30,5;24,1;18,8;73,6;
2011-01-31;109,1;32,5;25,7;21,1;77,2;
2011-02-28;278,5;30,7;24,9;21,4;83,4;
2011-03-31;224,8;30,2;23,5;18;77,2;
2011-04-30;149,5;27,9;20,3;15,8;83,1;
2011-05-31;85,6;23,7;16,3;12,1;84,2;
2011-06-30;357,1;19,9;13,8;10,1;86,3;
2011-07-31;255,5;21,4;14,7;10,7;84,4;
2011-08-31;190,1;23,1;16,2;11,7;78,9;
2011-09-30;132,1;26,4;18,4;12,4;73,5;
2011-10-31;283,4;28,3;21,1;15,9;73,2;
2011-11-30;86,1;29,4;22,4;16,4;69,7;
2011-12-31;62,7;31,9;24,4;17,5;61,7;
2012-01-31;90,4;33,4;25,8;19,5;62,7;
2012-02-29;91,6;34,7;26,7;21,1;66,2;
2012-03-31;60,8;31,8;23;16,8;65,8;
2012-04-30;192,9;27;20,1;15,4;79,3;
2012-05-31;33,4;25,2;16,9;11,4;82;
2012-06-30;123,8;21,9;15;10,7;83,4;
2012-07-31;228,1;20,8;13,8;9,8;82;
2012-08-31;16,1;27,6;19,6;14,3;70,8;
2012-09-30;72,2;28,2;20,1;13,9;65;
2012-10-31;281,5;28;21,7;16,9;75,7;
2012-11-30;99,6;31,6;24,3;17,9;65,7;
2012-12-31;319,3;32,1;25,9;20,9;76;
2013-01-31;146,6;32,6;25;18,6;65,4;
2013-02-28;126,2;31,6;24,8;19,7;74;
2013-03-31;316,8;27,6;21,5;17,1;79,5;
2013-04-30;152,5;27,8;19,1;13,9;80,8;
2013-05-31;98,8;23,8;16,7;12,7;84;
2013-06-30;210,1;21;15,8;12,8;89,1;
2013-07-31;44,4;22,4;14,5;9,7;81,1;
2013-08-31;212,9;22,2;14,2;9,1;79,3;
2013-09-30;191,6;25,4;17,8;12,4;76;
2013-10-31;157,7;27,9;21,1;15,8;72;
2013-11-30;159,1;31,3;24;18,1;67,8;
2013-12-31;164;32,5;25,4;19,8;72,3;
2014-01-31;194,7;32,9;26;21,1;74;
2014-02-28;93,9;33,5;26;20,7;70;
2014-03-31;208,2;29,6;22,7;18;80,1;
2014-04-30;249,7;27;20,6;16,3;81,3;
2014-05-31;207,2;23,4;17;13,1;85,1;
2014-06-30;555,2;21,3;16,1;12,9;87,5;
2014-07-31;137,4;22,6;15,5;11,1;82,2;
2014-08-31;77,7;26;17,1;11,4;77,1;
2014-09-30;428,6;26,6;20,2;15,9;79,6;
2014-10-31;106,2;31;23,1;17;70,6;
2014-11-30;198,5;30,6;23,5;17,8;71,9;
2014-12-31;170,9;31,2;25;20;73,8;
2015-01-31;null;null;null;null;null;
2015-02-28;172,3;32,2;24,8;20,2;79,3;
2015-03-31;null;null;null;null;null;
2015-04-30;91,2;28,5;21;16,1;81;
2015-05-31;null;null;null;null;null;
2015-06-30;null;null;null;null;null;
2015-07-31;null;null;null;null;null;
2015-08-31;null;null;null;null;null;
2015-09-30;null;null;null;null;null;
2015-10-31;null;null;null;null;null;
2015-11-30;null;null;null;null;null;
2015-12-31;336,1;30,3;24,7;20,8;82,4;
2016-01-31;52,9;33,8;27,1;21,5;69,1;
2016-02-29;null;null;null;null;null;
2016-03-31;null;29,1;22,6;18,5;81,2;
2016-04-30;139,5;29,6;22,5;18,4;82,4;
2016-05-31;130,8;22,7;16,2;12,5;86,2;
