Nome: CHAPECO
Codigo Estacao: 83883
Latitude: -27.13555555
Longitude: -52.66305555
Altitude: 654
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2017-01-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;163,6;28,5;23,6;20;78,7;
2010-02-28;null;null;null;null;null;
2010-03-31;null;null;null;null;null;
2010-04-30;null;null;null;null;null;
2010-05-31;null;null;null;null;null;
2010-06-30;null;null;null;null;null;
2010-07-31;null;null;null;null;null;
2010-08-31;66,4;21,7;15,7;11,5;65,8;
2010-09-30;119,9;23,1;17,6;13,5;69,9;
2010-10-31;159,1;23,8;18,1;13,5;68,1;
2010-11-30;115,5;27,1;20,8;15,4;63;
2010-12-31;392,4;27;22;17,9;75,3;
2011-01-31;168,3;29,1;23,5;19,8;78,9;
2011-02-28;247,8;27,2;22,6;19,8;86,3;
2011-03-31;227,1;27;21,7;17,6;75,5;
2011-04-30;120,5;25,2;19,5;15,6;76,9;
2011-05-31;59;20,6;15,5;12,1;78,8;
2011-06-30;292,4;18,3;13,1;9,6;81,2;
2011-07-31;211,4;20,1;14,8;11,3;76,9;
2011-08-31;266,9;20,6;15,4;11,9;75,5;
2011-09-30;187,2;23,1;17,1;12,3;69,1;
2011-10-31;315,1;25,6;19,8;15,4;68,1;
2011-11-30;91,1;26,5;20,9;15,9;66;
2011-12-31;56,7;28,4;22,4;17,6;61,8;
2012-01-31;86,2;29,5;23,7;18,9;63,6;
2012-02-29;98,5;31,2;24,8;20,6;66,5;
2012-03-31;85,1;28,6;21,9;17;63,7;
2012-04-30;197,4;24,3;19;15,5;76,9;
2012-05-31;47;22;16,5;12,5;74,8;
2012-06-30;101,6;19,8;14,4;10,9;81,8;
2012-07-31;184,8;18,6;13,7;10,5;78,3;
2012-08-31;2,3;24,8;18,9;15;65,2;
2012-09-30;68,5;25,5;18,8;13,4;63,1;
2012-10-31;231,1;25,3;19,9;15,6;74,5;
2012-11-30;73,6;28,5;22,6;17,1;65,4;
2012-12-31;289,9;28,8;23,7;19,7;79;
2013-01-31;133,6;27,9;22,4;17,1;69,5;
2013-02-28;138,3;27,5;22,4;18,8;79,6;
2013-03-31;307,4;24,4;19,8;16,3;81,2;
2013-04-30;181,7;25,1;18,8;14,2;72,1;
2013-05-31;87,9;21,3;16;12,3;79,9;
2013-06-30;234,8;18,6;14,5;11,5;87,5;
2013-07-31;78,7;19,6;13,8;9,6;76,7;
2013-08-31;218,3;19,8;13,9;9,5;75,8;
2013-09-30;212;22,3;16,9;12,9;74,3;
2013-10-31;285,9;24,8;19,2;14,5;70,8;
2013-11-30;152,1;28,1;22;16,8;67;
2013-12-31;129,5;29,2;23,6;18,8;71,4;
2014-01-31;149,6;28,7;24;20,1;77,1;
2014-02-28;147,2;30,1;24,1;19,7;69,7;
2014-03-31;266,3;26,3;21,1;17,1;78,1;
2014-04-30;241,8;24,7;19,4;15,6;79,4;
2014-05-31;272,9;21,2;15,9;12,4;81,5;
2014-06-30;538,8;18,9;14,8;12;85,4;
2014-07-31;119,5;19,9;14,5;10,5;79,1;
2014-08-31;87,3;22,9;16,7;11,9;71,2;
2014-09-30;376,7;24,1;18,7;14,7;77,3;
2014-10-31;110,4;28,5;22;16,5;66,9;
2014-11-30;163,3;27,7;22,1;17,4;70,5;
2014-12-31;208,7;27,9;22,7;18,4;76,7;
2015-01-31;307,5;29,2;23,2;19,1;80,5;
2015-02-28;182,1;28,6;22,9;18,7;79,7;
2015-03-31;142,2;27,7;22,1;18;78,3;
2015-04-30;115,8;25;19,5;15,3;76,9;
2015-05-31;208,5;21,6;16,7;13,1;82,8;
2015-06-30;124,1;21,1;15,7;11,6;78,1;
2015-07-31;498,2;19,6;14,9;11,3;84,2;
2015-08-31;54,2;25,7;20,1;15,8;63,4;
2015-09-30;274,8;23,9;18,6;14,7;73,4;
2015-10-31;209,2;26,2;20,8;16,7;77,8;
2015-11-30;335,2;25,8;20,9;17,2;82,4;
2015-12-31;376,4;27,6;22,9;19,2;81;
2016-01-31;137,1;29,6;24,7;20,4;72,3;
2016-02-29;251,1;28,9;24;20,7;82,9;
2016-03-31;248;26,4;20,7;16,1;80,1;
2016-04-30;75,4;27,9;21,6;17,9;76,1;
2016-05-31;173,4;19,5;14,7;11,7;83,9;
2016-06-30;37,7;16,5;11,2;7,7;80,8;
2016-07-31;64,4;20,7;14,7;10,4;73,6;
2016-08-31;182;21,7;16,3;12,3;74,8;
2016-09-30;103,1;23;16,5;11,3;67,7;
2016-10-31;236;25,1;19,2;14,5;73,8;
2016-11-30;170,9;27,2;21,1;15,8;67,7;
2016-12-31;187,1;28;22,5;18,3;76,9;
2017-01-31;142;29,1;23,7;19,6;76,2;

