Nome: CAMPOS NOVOS
Codigo Estacao: 83887
Latitude: -27.38388888
Longitude: -51.21611111
Altitude: 962.86
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2017-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;280,3;26,2;21;17,6;84,2;
2010-02-28;189,4;27,8;21,6;18;80,2;
2010-03-31;230,3;24,9;19,3;15,5;80,2;
2010-04-30;344,2;22,3;16,7;12,8;78,4;
2010-05-31;258,4;18;13,1;10;86,5;
2010-06-30;89,4;18,5;12,6;8,8;81,1;
2010-07-31;157,6;18,6;12,5;8,2;80,3;
2010-08-31;95,5;19,7;12,9;8,4;73,5;
2010-09-30;132,4;21,4;15;11;76,2;
2010-10-31;155,8;21,5;15,3;10,6;74,6;
2010-11-30;82;25,1;18,2;13,2;67,9;
2010-12-31;246,4;25,1;19,7;15,6;76,3;
2011-01-31;101,2;27,8;21,5;17,5;79,3;
2011-02-28;362;25,9;20,7;17,8;86,9;
2011-03-31;247,4;24,4;18,5;14,9;82,7;
2011-04-30;87,8;23,7;17,3;13,2;79,1;
2011-05-31;139,2;19,1;13,2;9,6;82,3;
2011-06-30;165,4;16,9;11;7,1;83,2;
2011-07-31;293,8;18,5;12,4;8,7;77,9;
2011-08-31;392,8;18,5;12,8;9;80,8;
2011-09-30;320,9;21;14,3;9,3;73,3;
2011-10-31;234,7;23,4;17;12,7;73;
2011-11-30;110,2;24,6;17,9;12,7;68,4;
2011-12-31;127,7;25,7;19,3;14,5;68,1;
2012-01-31;224,9;26,8;20,2;15,6;74,3;
2012-02-29;160,2;28,4;21,8;17,4;73,7;
2012-03-31;145,3;26,7;19,3;14,1;68,9;
2012-04-30;152,1;23;16,9;12,8;77,8;
2012-05-31;67,9;20,3;13,9;9,5;80,7;
2012-06-30;149,8;18;12,3;8,1;82,5;
2012-07-31;204,3;16,9;11,7;8,2;81;
2012-08-31;7;22,2;15,3;10,6;74,8;
2012-09-30;95,8;23;15,7;10,3;67,8;
2012-10-31;203,7;23,1;17,7;13,8;77,6;
2012-11-30;13,6;26,8;19,8;14,7;66,6;
2012-12-31;209,9;27,7;21,9;17,9;77,7;
2013-01-31;111;26;19,8;14,9;71,8;
2013-02-28;187,2;25,4;20,1;16,7;82,2;
2013-03-31;213,2;22,8;17,7;14,1;84,6;
2013-04-30;124,7;22,6;16;11,1;80;
2013-05-31;102,8;19,6;14;9,7;83;
2013-06-30;211,9;17,3;12,6;9,2;90,8;
2013-07-31;130,8;17,8;11,5;6,9;81,2;
2013-08-31;317,6;18,1;12;7;80,7;
2013-09-30;292,9;20,2;14,2;9,8;81,4;
2013-10-31;210,5;22,1;16;11;76,7;
2013-11-30;119,8;24,6;18,3;13,1;73,7;
2013-12-31;147,5;27,1;20,8;15,3;72,2;
2014-01-31;241,2;27,1;21,5;17,1;77,8;
2014-02-28;184,9;27,5;20,9;16,2;75,6;
2014-03-31;236,1;24,4;18,7;14,7;82,2;
2014-04-30;142,4;22,7;17,2;13,6;81,4;
2014-05-31;293,4;19;13,8;10,2;84,3;
2014-06-30;438,9;17,3;12,8;9,7;87,4;
2014-07-31;97,8;17,6;12,3;8,7;82,3;
2014-08-31;88,7;21,2;14,1;8,7;72,1;
2014-09-30;268,8;21,4;15,9;12,1;81,1;
2014-10-31;129,1;25,5;18,9;14;69,7;
2014-11-30;231,9;25,1;19,3;14,8;71,9;
2014-12-31;208,5;25,8;20,2;16;77,8;
2015-01-31;332,4;26,7;21,1;17;82,3;
2015-02-28;201,6;26;20,3;16,2;84;
2015-03-31;113,8;25,7;19,7;15,6;80,6;
2015-04-30;85,8;22,8;17,1;13,1;79,3;
2015-05-31;102,5;19,1;14,3;11,1;86,9;
2015-06-30;212,6;18,5;12,6;8,6;83,9;
2015-07-31;383,4;17,8;12,9;9,3;86,8;
2015-08-31;85;23,3;16,9;12,3;69,5;
2015-09-30;405,2;21,7;16,1;11,6;78,8;
2015-10-31;328,5;23;17,5;13,5;85;
2015-11-30;288,1;23,5;18,5;15,2;83,7;
2015-12-31;276,4;25,9;20,9;17,2;82,1;
2016-01-31;199;27,2;21,6;17,3;75,7;
2016-02-29;225,3;26,8;21,7;18,4;84,7;
2016-03-31;336,2;24,2;18,7;15;81,6;
2016-04-30;154,9;25,2;19,3;15,2;79,3;
2016-05-31;172,2;17,5;12,7;9,3;86,5;
2016-06-30;49,1;15;9,2;5,4;84;
2016-07-31;92,8;18,6;12;7,5;78,3;
2016-08-31;192,8;19,3;13,4;9,3;80;
2016-09-30;67,9;20,7;13,7;8,3;74,4;
2016-10-31;221,4;22,6;16,3;12;78,3;
2016-11-30;87,4;25,3;18,3;13;70,8;
2016-12-31;240;25,4;20,1;15,9;79,7;
2017-01-31;222;26,7;21,2;17;79,4;
2017-02-28;158,7;26,9;21,4;17,3;81,4;
2017-03-31;152;25,3;19,3;15,3;82,5;
2017-04-30;92,1;22,1;16,1;12,1;81;
2017-05-31;395,6;19,8;15,1;11,9;88;
2017-06-30;208,3;18,8;13,1;9,2;83,1;
2017-07-31;16;20;12,4;7,3;73,1;

