Nome: LAGES
Codigo Estacao: 83891
Latitude: -27.802108
Longitude: -50.335567
Altitude: 952.73
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2017-04-02
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;217,1;27;21,2;17,4;83,4;
2010-02-28;137,8;29;22,1;17,8;79,7;
2010-03-31;213,2;25,5;19,1;15,1;84,3;
2010-04-30;249,4;21,9;16,2;12,5;83,6;
2010-05-31;227,4;17,9;12,7;9;88,3;
2010-06-30;69,7;17;11,4;7,3;88,4;
2010-07-31;133,1;17,3;11,4;7,2;87,4;
2010-08-31;81,2;18;11,7;7;82,9;
2010-09-30;146,8;19,4;14,4;10,6;82,3;
2010-10-31;104,8;21,3;15;10,2;79,4;
2010-11-30;207,9;24;17,5;12,4;77,2;
2010-12-31;137,5;25,2;19,5;15;80,5;
2011-01-31;261,1;28,4;21,7;17,6;81,7;
2011-02-28;267,8;26,5;21,1;17,7;84,5;
2011-03-31;169,7;23,6;18,3;14,4;85;
2011-04-30;78,5;23,1;16,7;12,5;85,1;
2011-05-31;121,9;18,1;12,6;8,6;86,7;
2011-06-30;144,5;15,9;10,1;5,6;87,4;
2011-07-31;239,6;17,2;11,4;7,2;86,5;
2011-08-31;373;16,8;11,6;8,2;85,8;
2011-09-30;211,6;19,6;13;8;81,8;
2011-10-31;174,8;22,9;16,7;12,1;77,6;
2011-11-30;72;24;17,3;12,3;77,3;
2011-12-31;142,4;25,2;18,7;13,7;76,2;
2012-01-31;192,1;26,8;20,2;15,5;78;
2012-02-29;195,5;28,4;21,9;17,4;80,3;
2012-03-31;56,1;27,2;19,3;14,2;75,1;
2012-04-30;84,9;23;16,4;12,1;80,4;
2012-05-31;28,9;19,2;13,3;9,2;85,1;
2012-06-30;148,9;17;11,6;7,7;88,8;
2012-07-31;154,4;15,7;10,3;6,2;87;
2012-08-31;12,5;20,3;14,6;10,7;84,7;
2012-09-30;129,3;20,6;14,2;9,2;79,4;
2012-10-31;161,5;21,7;16,6;12,5;84,9;
2012-11-30;19,1;25,2;18,5;13,3;78;
2012-12-31;203,5;27,4;21,4;16,8;82,7;
2013-01-31;195,4;25;18,9;14;79,7;
2013-02-28;214,7;24,6;19,5;15,5;85,9;
2013-03-31;179,2;22,7;17,4;13,4;86,4;
2013-04-30;62,3;21,5;15,3;10,5;85,7;
2013-05-31;86,3;18,9;12,9;8,3;86,1;
2013-06-30;199,3;17,3;12;7,9;89,7;
2013-07-31;77;17;10,4;5,3;85,1;
2013-08-31;318,2;17,6;11,3;6;83,8;
2013-09-30;221,3;19,4;13,6;9;82,9;
2013-10-31;136,9;20,7;15,2;10,5;82,3;
2013-11-30;146,1;23,3;17,5;12,4;80,6;
2013-12-31;107,7;26,9;20,2;14,6;79;
2014-01-31;183;27,9;21,5;16,3;81;
2014-02-28;210,7;28,3;21;15,3;78,6;
2014-03-31;121,3;24,2;18,4;14;85,3;
2014-04-30;94,2;21,6;16,3;12,2;86,9;
2014-05-31;235,3;18,9;13,2;8,8;88,9;
2014-06-30;397,8;16,4;12;8,1;91,1;
2014-07-31;77,3;16,6;11,3;6,6;90;
2014-08-31;61;20,6;12,6;6,3;83;
2014-09-30;233,4;20,6;15,1;10,4;86,5;
2014-10-31;154,2;24;17,3;12,1;84,4;
2014-11-30;194,8;23,9;18,1;13;83,4;
2014-12-31;187,2;25,3;19,5;14,5;84;
2015-01-31;211,9;27,3;20,8;15,7;84,4;
2015-02-28;133,9;26,6;20,1;15,3;85,3;
2015-03-31;135,6;25,3;19,1;14,6;85,2;
2015-04-30;99,7;22,2;16,4;12,1;86,2;
2015-05-31;71;18,7;13,9;10,2;88,9;
2015-06-30;134,9;17,4;11,4;6,4;87,5;
2015-07-31;264;17,4;12,3;7,7;90,3;
2015-08-31;69,3;22,3;15,5;10,1;84,5;
2015-09-30;334,6;21,3;14,9;9,9;86,2;
2015-10-31;363,2;21;16;11,9;89,7;
2015-11-30;128;22,5;17,4;13,2;88;
2015-12-31;208,1;25,8;20,2;15,9;88,2;
2016-01-31;107,4;27,1;20,8;16,1;83,8;
2016-02-29;236,4;26,8;21,2;17,2;86,7;
2016-03-31;186,7;24,1;18,2;13,7;85,8;
2016-04-30;136,8;25;18,7;14,2;86,7;
2016-05-31;132;17,3;12,3;7,9;89,1;
2016-06-30;24,8;15,2;8,9;4;84,8;
2016-07-31;132;18,3;11,1;5,8;85,5;
2016-08-31;139;19,8;12,5;6,8;85,5;
2016-09-30;118,4;21,1;13,4;8;81,3;
2016-10-31;224,8;21,7;15,3;10,8;86;
2016-11-30;73,8;24,6;17,4;12,1;80,4;
2016-12-31;158,2;25,7;19,5;14,4;82,3;
2017-01-31;115,1;27,7;21,1;16,1;82,1;
2017-02-28;107,4;28,2;21,6;16,9;82,7;
2017-03-31;89,2;25,6;19;14,6;83,9;
2017-04-30;158,6;22,1;15,6;10,7;84;

