Nome: FLORIANOPOLIS
Codigo Estacao: 83897
Latitude: -27.6025
Longitude: -48.62027777
Altitude: 4.64
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2020-03-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;223;29,6;25,6;22,3;81,2;
2010-02-28;174,1;30,7;26,4;22,9;80,3;
2010-03-31;267,2;28,7;24,5;20,8;81,2;
2010-04-30;123,5;25,8;21,8;18,3;80,1;
2010-05-31;443;23,2;19,5;16,2;82,9;
2010-06-30;85,4;21,8;17,2;13,5;80,8;
2010-07-31;96,2;21,1;17,1;13,9;82,8;
2010-08-31;67;20,4;16,3;12,7;78;
2010-09-30;156,4;22;18,9;15,9;80,1;
2010-10-31;134;23,5;19,6;15,9;75;
2010-11-30;156,3;25,9;22;18;75,6;
2010-12-31;114,7;27,4;23,5;20,2;79;
2011-01-31;296,4;30,1;26;22,4;81,4;
2011-02-28;284,8;29,5;25,4;22,3;83;
2011-03-31;284,9;27,2;23,3;20,3;81,9;
2011-04-30;52,3;27,2;22,3;18,2;79,8;
2011-05-31;111,8;23,7;19,2;15,7;77,3;
2011-06-30;81;21,1;16,4;12,6;78,3;
2011-07-31;125,1;19,8;15,9;12,9;83,7;
2011-08-31;371,9;20,5;16,7;13,8;79,4;
2011-09-30;256,6;21,3;17,4;13,5;78,3;
2011-10-31;79,7;24,4;20,9;17,7;78,3;
2011-11-30;87,5;25,2;21,5;17,9;75,1;
2011-12-31;228,1;28;23,1;19;77,1;
2012-01-31;353,5;28,5;24,5;20,8;77,2;
2012-02-29;73,7;30,1;26,1;22,6;78,8;
2012-03-31;110,4;29,3;24,3;19,7;73,3;
2012-04-30;80,7;26,3;22,1;18,5;79;
2012-05-31;118;24,8;19,9;15,9;80,7;
2012-06-30;140,8;21,9;17,4;13,9;82,9;
2012-07-31;162;21,1;16;12,3;82,3;
2012-08-31;60,7;23;18,9;16;83,8;
2012-09-30;64,2;23,6;19,5;15,6;75,2;
2012-10-31;107,4;25;21,5;18,5;80,9;
2012-11-30;103,4;27,1;23;19,5;75,9;
2012-12-31;86,8;29,7;25,6;22,1;79,1;
2013-01-31;92,6;28,8;24,4;20;73,9;
2013-02-28;197,2;29,8;25,3;21,6;79,1;
2013-03-31;324,9;27,1;23,1;19,8;79,5;
2013-04-30;167,2;27,1;22;17,5;77,3;
2013-05-31;54;24,1;19,3;15,1;77,5;
2013-06-30;121,4;22,2;18;14,8;84,3;
2013-07-31;91,9;21;15,6;11,7;80,6;
2013-08-31;130,6;20,9;16,4;12,8;79,4;
2013-09-30;224,4;22,5;18,6;15,3;79,4;
2013-10-31;65,7;24,4;20,6;17,5;76,8;
2013-11-30;107,9;26,2;22,5;19,1;76,6;
2013-12-31;90,9;28,8;24,7;21,2;78;
2014-01-31;201,8;30,9;26,2;22,2;78,5;
2014-02-28;124,7;31,2;26,6;22,9;76,9;
2014-03-31;129;29,1;24,5;20,8;79;
2014-04-30;106,1;26,7;22,6;19,3;79,7;
2014-05-31;85,5;24;19,7;15,9;79,3;
2014-06-30;245,2;21,9;17,9;14,8;84,4;
2014-07-31;55,3;21,7;17,5;13,9;80,7;
2014-08-31;90,2;23;17,6;13,4;76,3;
2014-09-30;153,3;23,5;20;16,8;81,9;
2014-10-31;138,9;26;22,1;18,6;74,6;
2014-11-30;93;27,2;23,5;19,9;74,1;
2014-12-31;179,3;28,9;24,8;21,3;79;
2015-01-31;186;31,7;26,4;22,3;76,2;
2015-02-28;204,9;30,2;25,6;21,9;79,3;
2015-03-31;148,6;28,7;24,5;20,7;77,8;
2015-04-30;153,5;26,6;22,5;18,8;79,2;
2015-05-31;203,1;24;20;17;82,3;
2015-06-30;90,9;23,8;18,4;14,1;78,3;
2015-07-31;277,9;21,9;18,1;15;84,1;
2015-08-31;73,9;24,6;20,4;17,3;80,6;
2015-09-30;262,3;23,3;19,7;16,7;81,8;
2015-10-31;295,4;23;20;17,7;85,7;
2015-11-30;165,1;25,3;22,2;19,4;81,1;
2015-12-31;230,9;28,5;24,7;21,7;82,5;
2016-01-31;242,9;29,9;25,8;22,2;75,9;
2016-02-29;229,4;30,4;26,2;22,8;79,7;
2016-03-31;281,3;29,1;24,6;20,6;77,5;
2016-04-30;105;28,8;24,5;21;80;
2016-05-31;73,5;22,3;18,3;14,8;81,5;
2016-06-30;42,9;19;14,3;10,5;81,4;
2016-07-31;117,5;20,7;16,1;12,3;80;
2016-08-31;77,6;22,4;17,4;13,5;78,9;
2016-09-30;42,7;23,4;18,8;14,5;74,2;
2016-10-31;177,9;24,2;null;null;78,8;
2016-11-30;47,4;26,4;22,1;18,2;72,3;
2016-12-31;252,8;28,6;24,1;20,5;78,7;
2017-01-31;200,7;31;26,3;22,3;77,1;
2017-02-28;133,4;31,1;27,1;23,5;76,3;
2017-03-31;226,4;29;24,5;21;78;
2017-04-30;134,1;26,2;21,9;18,3;79,6;
2017-05-31;231,7;24,3;20,5;17,3;83,1;
2017-06-30;163,7;23,6;18,5;14,4;80,5;
2017-07-31;9,4;23,3;18,1;13,3;78,8;
2017-08-31;116,3;23,2;18,9;15,3;77;
2017-09-30;104,1;24,6;21,3;18,5;80,2;
2017-10-31;100;25,6;21,8;18,2;77;
2017-11-30;null;26,4;22,6;18,5;72,7;
2017-12-31;null;null;null;null;null;
2018-01-31;null;29,4;25,2;22,1;81,2;
2018-02-28;116,6;29,1;24,8;20,4;73,9;
2018-03-31;null;28,5;24,7;21,4;80,8;
2018-04-30;null;29,3;24,3;19,6;78,9;
2018-05-31;null;25,1;20,9;17;81,2;
2018-06-30;null;22;17,6;13,9;82,9;
2018-07-31;null;21,2;17,2;14,2;84,4;
2018-08-31;70;21;16,8;12,6;79;
2018-09-30;202,5;24,2;20,5;17;83;
2018-10-31;101,6;24,5;21;18,2;81,3;
2018-11-30;108,9;27,1;23,2;19,6;76,6;
2018-12-31;154,9;29,5;24,9;20,9;76,8;
2019-01-31;236,3;32,5;27,6;24;81,4;
2019-02-28;274,8;29,7;25,2;21,3;80,1;
2019-03-31;72,5;29,2;25,4;22,6;74,5;
2019-04-30;69,1;28;23,9;19,9;78,9;
2019-05-31;null;25,4;21,8;19,2;84,1;
2019-06-30;null;25,9;20,4;16;83,4;
2019-07-31;null;21,9;17,4;13,3;80,2;
2019-08-31;null;22,3;17,9;14,2;79,2;
2019-09-30;null;22;18,9;16,2;79,5;
2019-10-31;null;26,4;22,3;18,8;81,4;
2019-11-30;null;26,7;23,4;20;75,5;
2019-12-31;null;29,1;24,9;20,5;73,1;
2020-01-31;null;30,7;25,4;21,9;80,7;
2020-02-29;null;29,4;24,8;21,1;78,8;
2020-03-31;null;null;null;null;null;

