Nome: SAO LUIZ GONZAGA
Codigo Estacao: 83907
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.49
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;399,1;32,2;25,6;20,6;76,3;
2010-02-28;244,5;32,8;26,3;22;75,3;
2010-03-31;93,3;31,4;24,5;19,5;73,3;
2010-04-30;150,6;27;20,3;15,8;70;
2010-05-31;138,6;21,3;15,8;11,6;82,6;
2010-06-30;73,3;21,5;15,7;11,5;77,3;
2010-07-31;217,6;20,6;14,2;9,8;77,2;
2010-08-31;13,6;22;15,4;10,8;71,5;
2010-09-30;279,2;23,8;17,7;12,9;77,3;
2010-10-31;118;26,3;19,3;14;65,4;
2010-11-30;48,6;29,9;22,6;16,1;57,3;
2010-12-31;231,4;31,9;24,8;19,1;64,9;
2011-01-31;108,2;33,4;26,6;21,5;71,2;
2011-02-28;193;30,5;24,8;20,9;80,2;
2011-03-31;141,4;30,7;23,5;18,4;70,1;
2011-04-30;178,2;27,9;21;16,2;71,9;
2011-05-31;82,5;22,5;16,8;13;77,2;
2011-06-30;145,7;19;14;10,6;79,2;
2011-07-31;162,9;19,3;14,1;10,5;76,9;
2011-08-31;150;21,5;15,6;11,4;73,9;
2011-09-30;90,1;25,2;18,3;12,8;66,2;
2011-10-31;237,1;27,4;20,4;15;69,7;
2011-11-30;82,7;30,5;23,7;17,5;59,2;
2011-12-31;38,3;32;24,7;18,2;57,1;
2012-01-31;49,4;34,8;26,9;20;56,4;
2012-02-29;48,7;35;27,6;22,3;61,5;
2012-03-31;62,9;32,1;24,4;18,3;58,9;
2012-04-30;94,2;27,3;20,2;15,2;69,9;
2012-05-31;16,2;25,8;19;14;65,7;
2012-06-30;59,8;21,3;15,5;11,6;76;
2012-07-31;81,1;19,8;13,5;9;74,5;
2012-08-31;82,2;25,6;19,6;15,4;70;
2012-09-30;113,4;25,7;19,2;14,4;68;
2012-10-31;454,4;26,6;21;16,9;76,7;
2012-11-30;67,2;32,2;24,7;18,1;58,1;
2012-12-31;348,1;31,4;25,5;20,2;72,8;
2013-01-31;198,3;31,6;24,7;18,5;66,3;
