Nome: CRUZ ALTA
Codigo Estacao: 83912
Latitude: -28.6261111
Longitude: -53.61388888
Altitude: 475.52
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;262,4;29,5;23,7;19,2;78,5;
2010-02-28;147,5;30,9;24,7;20,4;75,3;
2010-03-31;56,1;29,2;22,7;18,1;72,9;
2010-04-30;195,7;25,2;18,7;14,3;73;
2010-05-31;171,4;19,6;14,7;11,5;84,5;
2010-06-30;131,2;20,1;14;10,2;80,9;
2010-07-31;202,7;19,1;13;8,4;79,8;
2010-08-31;48,8;19,7;13,6;9,6;74,3;
2010-09-30;293,2;22;16,3;12,1;77,6;
2010-10-31;98,6;24,5;17,6;12,2;70,4;
2010-11-30;80,5;28;20,7;14,4;61,5;
2010-12-31;165,2;29,4;22,9;17,2;69,2;
2011-01-31;111,4;31;24,4;19,9;78,8;
2011-02-28;470,3;28,3;23;19,3;83,5;
2011-03-31;286,9;28,1;21,6;17;75,5;
2011-04-30;215,7;26,3;19,5;14,8;74;
2011-05-31;101,2;21;15,2;11,5;80,5;
2011-06-30;181,2;18,1;12,4;8,6;82,1;
2011-07-31;210,6;18,3;12,7;9;82;
2011-08-31;217,6;19,8;13,8;9,7;80,4;
2011-09-30;44,6;23,1;16,3;11,1;72,8;
2011-10-31;189,1;26,1;18,9;13,6;74,3;
2011-11-30;59,3;29,2;21,9;15,5;65,9;
2011-12-31;53,1;29,8;22,8;16,8;64,4;
2012-01-31;52,5;31,8;24,2;18,1;72,1;
2012-02-29;80,9;32,6;25,3;20,2;76,9;
2012-03-31;56,2;29,4;22;16,4;76,9;
2012-04-30;66;25,3;18,6;14,1;82;
2012-05-31;21,2;24,3;17;12;77,9;
2012-06-30;54,7;19,9;13,9;9,9;79,5;
2012-07-31;194,4;17,9;11,9;7,8;78,6;
2012-08-31;68,9;23,9;17,7;13,4;74,2;
2012-09-30;218,4;23,6;17;12,2;72,7;
2012-10-31;302,8;25,5;19,5;15,2;75,8;
2012-11-30;75,9;29,9;22,8;16,7;59,4;
2012-12-31;442,5;29,9;24,1;19;74,3;
2013-01-31;117,7;29,2;22,6;17;74,8;
2013-02-28;130,8;28,8;22,5;17,9;84,5;
2013-03-31;200,3;25,3;19,6;15,5;85,7;
2013-04-30;138,2;26,2;19;14,1;85,4;
2013-05-31;174,2;21,3;null;null;91,5;
2013-06-30;72,6;19,1;13,7;10;93,8;
2013-07-31;73,7;19,3;12,9;8,2;89,7;
2013-08-31;186,1;18,5;12,2;7,6;90,8;
2013-09-30;138,6;21,6;15,8;11,1;89,3;
2013-10-31;146,8;25,6;18,6;13,3;87,4;
2013-11-30;124,2;29,3;21,8;16,1;86,1;
2013-12-31;115,9;31,8;24,7;18,8;86;
2014-01-31;202;30,6;24,6;19,9;90,4;
2014-02-28;120,1;31,1;24,4;19,5;88,8;
2014-03-31;151,9;27,6;21,2;16,5;90,2;
2014-04-30;167,9;25,6;19,4;15,1;91,3;
2014-05-31;255,8;20,8;15,3;11,7;94,5;
2014-06-30;396;18,7;13,9;10,7;95,2;
2014-07-31;205;20,2;14,2;10,1;93,3;
2014-08-31;81;22,5;15,8;10,7;90,3;
2014-09-30;360,1;22,9;17,5;13,5;93,4;
2014-10-31;277,8;27,7;20,8;15,8;89,8;
2014-11-30;88,9;29,4;22,5;17;86,4;
2014-12-31;179,5;29,1;23;18,4;87,8;
2015-01-31;305;29,4;23,3;19,2;90,4;
2015-02-28;152;29,3;23,2;18,9;87,8;
2015-03-31;115;29,2;22,4;17,8;86,4;
2015-04-30;227,4;26,3;19,6;15,3;87,2;
2015-05-31;227;22,1;16,5;12,9;92;
2015-06-30;284,6;20,3;14,8;11;92,5;
2015-07-31;272,9;19;14;10,6;94,2;
2015-08-31;94,6;24,9;18,6;14,6;85,6;
2015-09-30;169,8;23,8;17;12,5;86,7;
2015-10-31;213,5;24,8;18,9;14,7;null;
2015-11-30;208,5;26,4;20,5;16;null;
2015-12-31;490,9;27,9;22,6;18,8;null;
2016-01-31;212,9;30,9;24,9;20;null;
2016-02-29;91;30,5;24,4;20,2;null;
2016-03-31;267,6;27;21,1;17;null;
2016-04-30;null;null;null;null;null;
2016-05-31;null;19,1;13,9;10,8;null;
2016-06-30;null;17,4;11,1;6,8;null;
2016-07-31;null;19,4;13,2;9,3;null;
2016-08-31;55;21,6;15,5;11,3;null;
2016-09-30;55,8;22,3;15,3;9,9;null;
2016-10-31;null;24,9;18,7;14,6;null;
2016-11-30;null;28,1;21,2;15,6;null;
2016-12-31;null;29,7;23,6;19;null;
2017-01-31;null;29,3;23,6;19,4;null;
2017-02-28;122,6;30,2;23,9;19,8;null;
2017-03-31;null;28,8;22,2;18;null;
2017-04-30;null;24,2;18,5;14,6;null;
2017-05-31;null;null;null;null;null;
2017-06-30;null;20,1;14,6;11,1;null;
2017-07-31;null;22,6;15,2;10,7;null;
2017-08-31;null;23,3;16,4;11,8;null;
2017-09-30;null;26,2;19,8;15,9;null;
2017-10-31;null;25,5;19,5;15,2;null;
2017-11-30;null;28,7;21,7;16,1;null;
2017-12-31;null;30,8;24;18,6;null;
2018-01-31;null;28,9;23,3;19,4;null;
2018-02-28;null;28,8;22,3;17,7;null;
2018-03-31;null;27,9;21,7;17,3;null;
2018-04-30;null;28,8;22,1;17,9;null;
2018-05-31;null;23,6;17,3;13,7;null;
2018-06-30;null;null;null;null;null;
2018-07-31;null;18,5;13,1;9,9;null;
2018-08-31;null;18,5;12,7;8,7;null;
2018-09-30;null;23,6;18;14;null;
2018-10-31;null;25,5;19,5;15,3;null;
2018-11-30;null;29,4;22,9;17,9;null;
2018-12-31;null;30;23,4;18,7;null;
2019-01-31;null;30,8;25,1;21,2;null;
2019-02-28;177,7;29,4;23,1;17,9;null;
2019-03-31;null;27,5;21,4;17,1;null;
