Nome: PASSO FUNDO
Codigo Estacao: 83914
Latitude: -28.2286111
Longitude: -52.41194444
Altitude: 684.05
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;126,5;28,2;22,3;18,3;80,2;
2010-02-28;103,6;29,4;23,1;18,9;78,3;
2010-03-31;68;27,6;21;16,4;75,3;
2010-04-30;216,4;23,9;17,7;13,4;75,2;
2010-05-31;130,9;19;14,1;10,8;83,6;
2010-06-30;141,7;19,1;13,4;9,6;78,6;
2010-07-31;187,1;18,8;12,6;8,3;79,9;
2010-08-31;49,2;19,5;13,3;9;73,5;
2010-09-30;240;21,4;15,6;11,6;75,9;
2010-10-31;143,7;23;16,5;11,4;69,7;
2010-11-30;60;26,9;19,5;13,5;63,8;
2010-12-31;194,4;27,9;21,5;16,3;69,4;
2011-01-31;150,4;29,5;23;18,5;77,6;
2011-02-28;219,4;27;21,9;18,6;84,3;
2011-03-31;219,6;26,5;20,3;15,9;75,3;
2011-04-30;108,8;25,2;18,4;13,9;73,5;
2011-05-31;137,1;19,8;14,1;10,6;79;
2011-06-30;226,7;16,7;11,4;8;81,9;
2011-07-31;340;17,6;12,4;9,2;78,8;
2011-08-31;254,4;19;13,4;9,6;77;
2011-09-30;47,3;22,1;15,4;10,1;68,9;
2011-10-31;194,7;25,1;18,3;13,4;67,2;
2011-11-30;77,1;27,2;20,2;14,5;61,3;
2011-12-31;91,2;28,1;21,2;15,4;60,3;
2012-01-31;105,3;29;22,1;16,9;69;
2012-02-29;86;31;23,6;18,6;68,9;
2012-03-31;114,5;28,5;20,7;15,2;64,9;
2012-04-30;58,2;24,7;18;13,4;69,4;
2012-05-31;28,5;22,9;15,7;10,9;69,6;
2012-06-30;186,6;18,7;13;9,1;78,9;
2012-07-31;209,3;17,3;11,5;7,7;78,6;
2012-08-31;28,1;22,5;16,3;12,1;72,8;
2012-09-30;142,3;23,2;16,4;11,6;68,1;
2012-10-31;253,2;24,9;19;14,5;71,1;
2012-11-30;34;28,9;21,7;15,7;56,7;
2012-12-31;176,3;28,9;23;18,3;73,8;
2013-01-31;101,8;27,7;21,3;15,9;68,5;
2013-02-28;170,5;27,6;21,4;17,1;77,7;
2013-03-31;165,9;24,1;18,4;14,4;78,9;
2013-04-30;95,7;25,1;17,9;12,8;68,8;
2013-05-31;85,2;20,5;14,6;10,5;76;
2013-06-30;127,6;18,1;13,2;9,8;85,1;
2013-07-31;81,4;18,2;12;7,6;74,9;
2013-08-31;363,6;18,2;12;7,8;76,2;
2013-09-30;184;21;15,2;10,9;74,4;
2013-10-31;186,4;23,8;17,7;13,1;67,8;
2013-11-30;103,9;27,8;20,8;15,4;64;
2013-12-31;66,4;30,2;23,2;17,8;64,8;
2014-01-31;193,7;29,4;23,2;18,5;74,4;
2014-02-28;140,8;29,6;22,6;18;72,3;
2014-03-31;236,4;26,4;20,2;15,8;75,5;
2014-04-30;137,4;24,1;18,3;14,4;75,9;
2014-05-31;222,1;20,1;14,5;11;81,3;
2014-06-30;284,4;17,3;13,2;10,4;86,2;
2014-07-31;108,1;18,8;13,2;9,4;77,7;
2014-08-31;126,1;21,5;14,7;9,9;70,8;
2014-09-30;261,2;22,4;17;13,2;78,1;
2014-10-31;176,8;26,4;19,8;14,8;70;
2014-11-30;143,6;27,7;21,2;16;64,4;
2014-12-31;208;27,4;21,7;17,4;72,2;
2015-01-31;333,5;27,9;22;17,9;80,3;
2015-02-28;111,8;27,6;21,7;17,5;78,5;
2015-03-31;43,5;27,7;21,4;17;72,2;
2015-04-30;147,7;24,8;18,5;14,1;73,4;
2015-05-31;166,3;20,3;15,5;12,2;80,7;
2015-06-30;172,8;18,8;13,4;9,6;80,1;
2015-07-31;322,5;18,1;13,3;10;85,1;
2015-08-31;55;24;17,7;13,3;69,5;
2015-09-30;200,4;22,6;16,3;11,8;73,5;
2015-10-31;264;24,1;18,2;13,9;77,9;
2015-11-30;208,7;25;19,4;15,3;78,3;
2015-12-31;347;26,8;21,7;17,8;79,8;
2016-01-31;190,3;29,1;23,2;18,6;71,2;
2016-02-29;225,7;28,3;22,8;19,1;81,3;
2016-03-31;205;25,5;19,9;15,9;77,1;
2016-04-30;188,5;26,3;20,2;16,3;77,3;
2016-05-31;72,7;18,3;13,5;10,1;81,2;
2016-06-30;19,5;15,7;9,7;5,4;74,9;
2016-07-31;201,1;18,5;12,4;8;76,6;
2016-08-31;187,7;19,5;14,1;10;76,2;
2016-09-30;69,3;21,2;14,6;9,1;68,7;
