Nome: BOM JESUS
Codigo Estacao: 83919
Latitude: -28.66944443
Longitude: -50.44194444
Altitude: 1047.5
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;331,8;25,2;19,6;15,9;85,1;
2010-02-28;305,3;26,7;20,6;16,8;80,9;
2010-03-31;82,7;23,8;18;14,3;83,1;
2010-04-30;179,5;20,4;15;11,2;83,2;
2010-05-31;170,8;16,9;12,1;8,8;88,5;
2010-06-30;125,3;16,8;10,8;6,6;82,9;
2010-07-31;173,8;17,4;11;5,9;79,8;
2010-08-31;75,9;17,4;11,1;6,7;75;
2010-09-30;180,9;19,3;13,5;9,3;78,3;
2010-10-31;119,8;19,6;13,1;8,4;78,9;
2010-11-30;188,5;22,5;15,8;10,8;77,2;
2010-12-31;94,3;24,5;18,2;13,5;78,3;
2011-01-31;188,3;26,4;20;16,1;81,9;
2011-02-28;301,3;24,5;19,3;15,8;86,2;
2011-03-31;241,2;23,1;17,2;12,9;83,9;
2011-04-30;139,8;21,9;15,6;11,1;83,6;
2011-05-31;79;17,1;11,6;8,2;91,1;
2011-06-30;173,8;15;9,5;5,5;89,7;
2011-07-31;270,5;16,2;10,7;7,1;84,8;
2011-08-31;295;16,7;11;6,8;83;
2011-09-30;100,9;19,4;12,2;6,5;73,9;
2011-10-31;163,1;21,5;15,1;10,9;75;
2011-11-30;34,4;23,4;16,1;10,8;74,3;
2011-12-31;112,5;23,3;17,1;12,5;75,9;
2012-01-31;155,3;25,1;18,5;14,1;77,1;
2012-02-29;141,1;27;20,6;16,4;78,1;
2012-03-31;32;25,1;17,7;12,8;75,2;
2012-04-30;47,4;21,6;15,1;11;78,7;
2012-05-31;46,4;20,1;12,9;7,6;75,7;
2012-06-30;142,8;17,5;11;6,7;79,9;
2012-07-31;287,9;15,5;9,8;5,6;80,8;
2012-08-31;41;21,3;14,4;9,7;72;
2012-09-30;215,6;20,3;13,7;8,9;74,7;
2012-10-31;148,2;22,3;16,6;12,5;77,1;
2012-11-30;78,2;24,6;17,5;12,5;71,1;
2012-12-31;204,9;26,5;20,3;15,9;78,2;
2013-01-31;116,1;24,6;18,1;13,7;77,7;
2013-02-28;212,1;25;18,9;15,3;83;
2013-03-31;211,1;21,7;16,4;13,1;84,8;
2013-04-30;45,4;21,6;14,9;10,2;79,4;
2013-05-31;75,3;19;12,5;8,2;83,1;
2013-06-30;136,4;16,5;11,2;7,4;89,4;
2013-07-31;98,4;16,9;10;5,1;81,9;
2013-08-31;415,5;16,7;10,6;6;82,1;
2013-09-30;232,1;19,6;13,4;9;78,4;
2013-10-31;148,7;20,8;14,5;10;77,7;
2013-11-30;142,4;24,4;17,3;12,4;74,7;
2013-12-31;131,2;26,6;19,5;14,6;77,2;
2014-01-31;229,7;27,2;20,9;16,5;76,7;
2014-02-28;195;27;20,8;16,2;74,1;
