Nome: SAO JOAQUIM
Codigo Estacao: 83920
Latitude: -28.27555554
Longitude: -49.93472221
Altitude: 1400.07
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2017-05-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;371,8;22,6;17,8;14,6;88,9;
2010-02-28;304,1;23,9;18,8;15,5;84,3;
2010-03-31;178,3;21,4;16,3;13,2;85,6;
2010-04-30;229,7;17,8;13,4;10,4;85,9;
2010-05-31;280,1;14,5;10,7;8;87,8;
2010-06-30;140,7;14,6;9,9;6,6;79,9;
2010-07-31;189,3;15,3;10,1;6,2;78,5;
2010-08-31;103,4;15,3;10;6,4;74,8;
2010-09-30;246,4;17,2;12;8,2;76,6;
2010-10-31;153,8;17;11,6;7,5;79,7;
2010-11-30;181;19,9;14,1;10,1;78,7;
2010-12-31;166,8;21,6;16,2;12,2;81,5;
2011-01-31;198,1;23,7;18,2;14,9;85,2;
2011-02-28;363,4;22,2;17,6;14,8;88,5;
2011-03-31;189,6;20,6;15,5;12;85,1;
2011-04-30;117,4;19,4;14,2;10,8;82,6;
2011-05-31;101,5;14,5;10;7,1;86,4;
2011-06-30;146,3;13,4;8,5;4,8;81,2;
2011-07-31;235,1;14,5;9,8;6,7;78,8;
2011-08-31;372;15;9,9;6,3;79,9;
2011-09-30;145,2;17,1;11,2;6,8;73,7;
2011-10-31;168,7;18,7;13,3;9,6;78;
2011-11-30;66,9;20,2;14,2;9,7;78,2;
2011-12-31;165,6;20,8;15,4;11,2;77,7;
2012-01-31;220,1;22;16,5;12,8;81,9;
2012-02-29;185,8;23,8;18,6;15;82,5;
2012-03-31;72,8;22,3;16;11,8;77,4;
2012-04-30;88,6;19;13,7;10,3;83,1;
2012-05-31;30,9;16,6;11,3;7,5;79,5;
2012-06-30;148;15,3;10,1;6,5;78;
2012-07-31;167,7;13,4;8,6;5,5;81,6;
2012-08-31;21,2;18,1;12,8;9,3;74,6;
2012-09-30;146,4;18,2;12,3;7,7;72,8;
2012-10-31;181;20;15;11,2;76,9;
2012-11-30;49;21,6;15,1;10,5;75,2;
2012-12-31;170,9;24,3;18,6;14,4;80,2;
2013-01-31;75,1;22;16,1;11,9;78,4;
2013-02-28;247,4;22,1;16,8;13,4;86,5;
2013-03-31;168,3;19,4;14,5;11;86,4;
2013-04-30;56,6;19,3;13,4;9;77,8;
2013-05-31;75,6;16,4;11,3;7,4;75,7;
2013-06-30;184,6;14,5;10,2;6,9;85,6;
2013-07-31;81,7;15;9,3;5;75,7;
2013-08-31;402,4;14,8;9,6;5,3;79,2;
2013-09-30;234,8;17,3;11,8;7,9;80,5;
2013-10-31;126,5;18;12,5;8,4;83,3;
2013-11-30;121,4;20,6;14,9;10,3;80,5;
2013-12-31;136,7;23,3;17,3;12,9;78,9;
2014-01-31;173,9;24,6;19;15;76,5;
2014-02-28;255;24,6;18,9;14,9;76,7;
2014-03-31;136,2;21,1;15,9;12,1;85,8;
2014-04-30;138,8;18,4;13,7;10,6;86,5;
2014-05-31;211,8;15,7;11,1;8;85,2;
2014-06-30;445,1;14,6;10,4;6,8;83,1;
2014-07-31;94,2;14,4;9,8;6,4;83,1;
2014-08-31;94,7;18;11,7;6,7;71,2;
2014-09-30;207,9;17,8;13,1;9,6;80,8;
2014-10-31;228,1;21;15,3;10,8;74,3;
2014-11-30;139,2;21;15,3;10,6;77,5;
2014-12-31;242;22,2;16,7;11,3;79,7;
2015-01-31;252,4;23,7;17,9;12,6;82,7;
2015-02-28;152,4;22,4;17,1;12,5;84,8;
2015-03-31;149;21,1;15,8;11,1;82,5;
2015-04-30;93,4;18,6;13,5;9,5;86;
2015-05-31;100,6;15,4;11,2;8;82,4;
2015-06-30;158,7;15,3;10;5,6;81,6;
2015-07-31;194;14,1;10,1;6,4;89,4;
2015-08-31;56,3;19,2;14,1;9,6;72,7;
2015-09-30;417,9;17,6;12,5;8,3;82,6;
2015-10-31;355,4;19,1;14,3;10;86;
2015-11-30;123,5;19,7;14,9;11;83,4;
2015-12-31;210,8;22,2;17,6;13,9;82,8;
2016-01-31;91,9;23,4;17,8;13,3;83,3;
2016-02-29;206,2;23,5;18,4;14,6;85,3;
2016-03-31;159,4;20,7;15,4;11,3;84,1;
2016-04-30;157,9;21;16,1;12,5;80,2;
2016-05-31;113,6;14,1;9,8;6,2;84,9;
2016-06-30;15,7;12,4;6,7;2,8;74,6;
2016-07-31;202,8;15,5;9,6;5,3;72,5;
2016-08-31;127,3;16,1;10,7;6,8;73,5;
2016-09-30;84,9;17;10,8;6;67,3;
2016-10-31;276,4;18,2;12,8;8,7;80,5;
2016-11-30;76,8;20,9;14,3;9,4;71,5;
2016-12-31;193,5;22;16,6;12,5;78,8;
2017-01-31;166,6;23,4;18;14;80,6;
2017-02-28;109,1;24,2;18,8;15,1;80,4;
2017-03-31;69,6;21,3;15,8;12,2;86,8;
2017-04-30;117,8;17,9;13,1;9,5;83,5;
2017-05-31;289,1;16,6;12,3;8,6;88,7;

