Nome: URUSSANGA
Codigo Estacao: 83923
Latitude: -28.532537
Longitude: -49.31521
Altitude: 40.5
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2017-09-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;330,6;30,2;24,8;21,1;86,4;
2010-02-28;160;32,6;26;21,8;82,6;
2010-03-31;223,8;29,4;23,6;19,7;86,7;
2010-04-30;156,6;26,1;20,4;16,6;87,5;
2010-05-31;373,9;22,5;17,8;14,6;91;
2010-06-30;68,9;21,4;15,1;10,7;89,6;
2010-07-31;108,7;22,7;15,5;10,6;86;
2010-08-31;73,1;21,9;15,3;10,6;83,8;
2010-09-30;96,3;23,2;17,8;13,4;84,2;
2010-10-31;84,7;24;18,5;13,8;83,3;
2010-11-30;217,1;27,2;20,9;15,9;79,8;
2010-12-31;76,1;27,8;22,8;18,8;83;
2011-01-31;542,4;30,7;25,1;21,3;87,3;
2011-02-28;261,9;29,5;24,6;21,5;88,8;
2011-03-31;153,5;27,4;22,2;18,2;85,4;
2011-04-30;48,4;27;20,5;16,1;86;
2011-05-31;101;23,3;16,9;12,9;87,1;
2011-06-30;106,8;21,2;14,1;9,2;85,7;
2011-07-31;229,4;20,4;14;9,8;88,8;
2011-08-31;300;20,6;15;11;86;
2011-09-30;131,4;23,3;16,6;11,3;81,7;
2011-10-31;75,8;25,6;20;15,4;79,9;
2011-11-30;32,7;26,7;20,8;15,7;79;
2011-12-31;216,7;27,8;22,1;17,3;79,6;
2012-01-31;271,9;29,1;23,5;19,2;83,3;
2012-02-29;194,4;32,4;25,7;21;81;
2012-03-31;78,8;30,5;23;17,6;78,7;
2012-04-30;27;26,6;20,2;15,9;83,4;
2012-05-31;42;25,3;17,8;12,5;86;
2012-06-30;106,3;22,6;15,1;10,3;87,2;
2012-07-31;106,1;20,9;14,2;9,7;86,2;
2012-08-31;34,9;26,3;18,7;13,6;80,2;
2012-09-30;170,1;25,1;18,3;13,1;80,9;
2012-10-31;171,9;27,6;21,6;17;82,4;
2012-11-30;62,1;28,2;22,2;16,8;79,8;
2012-12-31;97,9;31,7;25,2;20;80,1;
2013-01-31;133,6;29,2;23,5;18,5;79,8;
2013-02-28;389,7;29,7;24;20,2;85,8;
2013-03-31;164,8;27;21,7;17,6;85,8;
2013-04-30;45,9;27;20,1;14,8;82,5;
2013-05-31;33,7;24;17,1;12;85,3;
2013-06-30;102,5;21,2;15,8;12,2;89,6;
2013-07-31;70,3;21,6;13,9;8,9;85,3;
2013-08-31;416,7;21,6;14,6;9,3;84,9;
2013-09-30;141,5;24,3;17,9;12,7;83,9;
2013-10-31;75;25,5;20,4;14,9;81,1;
2013-11-30;94,1;28,7;22,3;16,6;77,6;
2013-12-31;187,3;30,1;24,5;19;82,7;
2014-01-31;292,4;32,9;25,6;20,4;82,7;
2014-02-28;229,4;32,6;25,9;21,2;82,7;
2014-03-31;200,5;28,5;23;19,1;87,8;
2014-04-30;226,6;26,4;20,9;17,2;88;
2014-05-31;96,5;23;17,3;13,6;90,3;
2014-06-30;298;21,5;15,8;12;90,5;
2014-07-31;65,3;22,6;15,8;11,4;87,9;
2014-08-31;98;24,5;16;11,1;83,6;
2014-09-30;144,2;24,2;19,1;15,4;85,7;
2014-10-31;151,6;27,6;21,5;17;80,3;
2014-11-30;59,5;28,6;22,9;18,2;78;
2014-12-31;199,2;30,6;24;20;80,5;
2015-01-31;271,4;31,9;25,6;21,7;84,5;
2015-02-28;260,8;30,1;24,3;20,6;86,3;
2015-03-31;271,6;28,5;23,2;19,5;85,8;
2015-04-30;134,9;26,3;20,8;17,1;87,1;
2015-05-31;206,8;24,1;18,4;14,6;88,9;
2015-06-30;130,5;23,6;15,8;10,9;85,2;
2015-07-31;172,4;22,1;16,4;12,8;88,6;
2015-08-31;45,4;27,6;19,9;15,2;81,1;
2015-09-30;291,5;23,3;17,9;14,3;85,5;
2015-10-31;269,3;23,9;19,6;16,2;86,1;
2015-11-30;156,6;26;21,4;18;83,2;
2015-12-31;214,1;29,8;24,4;20,6;83,7;
2016-01-31;75,6;30,3;24,7;20,7;81,3;
2016-02-29;286,3;30,7;25,1;21,5;84,9;
2016-03-31;250,3;28,9;22,9;18,7;84,7;
2016-04-30;135;29,3;22,4;19,7;85,1;
2016-05-31;51;21,7;16,1;12,6;88,3;
2016-06-30;17,1;19,3;12,2;7,7;86;
2016-07-31;145,3;22,1;14,7;9,9;83;
2016-08-31;114,7;23,7;16,3;11,5;82,3;
2016-09-30;77,5;24,6;17,4;12,1;76,9;
2016-10-31;166,2;25,3;19,8;15,5;80,5;
2016-11-30;53,7;28,7;21,8;16,3;72,8;
2016-12-31;261,5;30,6;24,1;19,1;79,3;
2017-01-31;292,8;31,2;25,4;21,3;81,8;
2017-02-28;222,3;32,6;26,2;22;80,9;
2017-03-31;146,8;28,7;23,2;19,5;85,4;
2017-04-30;82,1;26,1;20,2;16,3;85,8;
2017-05-31;229,3;24,1;19,1;15,6;89,2;
2017-06-30;147,9;23,5;16,3;11,7;86,1;
2017-07-31;17,2;25,3;15,8;9,8;82,7;
2017-08-31;91;25,1;18;12,8;79,4;
2017-09-30;57,5;27,7;21,2;16,6;81,6;

