Nome: URUGUAIANA
Codigo Estacao: 83927
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.41
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;169;31,1;25,6;19,4;74;
2010-02-28;308,1;31,1;25,3;19,7;76,1;
2010-03-31;136,5;30,1;24,2;17,4;68,7;
2010-04-30;38,3;26;19,3;13;67,7;
2010-05-31;196,8;20,9;15,5;10,6;78,2;
2010-06-30;4,5;19,5;13,6;8,3;78,7;
2010-07-31;128,2;18,8;12,6;7,6;75,2;
2010-08-31;14,6;20;13,9;9,1;72,9;
2010-09-30;151,2;22,3;17;13,2;74,1;
2010-10-31;44,4;25,4;19,2;13,5;61,5;
2010-11-30;20,9;29,8;22,6;15,5;53,1;
2010-12-31;95,3;31,7;25,2;18,9;57,1;
2011-01-31;112,3;33;26,7;20,3;68,2;
2011-02-28;68,6;30,7;25,1;19,4;68;
2011-03-31;78,7;29,8;23,3;16,6;65,2;
2011-04-30;87,8;27,3;20,2;13,6;65,9;
2011-05-31;120;22;16;10,8;73,1;
2011-06-30;63;19;13;7,9;76;
2011-07-31;71;18,6;12,4;6,9;73,2;
2011-08-31;104,8;20,2;13,9;8,2;73,5;
2011-09-30;75,4;25;17,6;10,2;63,1;
2011-10-31;217,1;24,8;19,3;13,3;69,8;
2011-11-30;57,5;30,3;23,5;15,9;58,1;
2011-12-31;185,8;30,5;24,2;17,5;55,7;
2012-01-31;33,2;32,8;26,5;19,9;56,1;
2012-02-29;101,8;33;26,7;20,9;65,8;
2012-03-31;44;30,4;23,1;17;61,4;
2012-04-30;135,2;25,9;19,3;14,2;68,1;
2012-05-31;39,7;24,5;17,8;12,5;69,8;
2012-06-30;37,3;19,4;14,1;9,9;76,2;
2012-07-31;32,4;18,4;11,5;6,3;67,3;
2012-08-31;145,9;24,3;17,7;12,8;70,7;
2012-09-30;118,5;24,8;18,4;13,2;64,9;
2012-10-31;338;25,1;20,4;16,4;76,3;
2012-11-30;35,6;31;24,6;18,8;53,9;
2012-12-31;334,8;30,9;25,1;19,9;70,2;
2013-01-31;163,4;30,9;24,7;19,1;60,5;
2013-02-28;257,7;30,6;24,7;19,6;68;
2013-03-31;155,4;26,6;21,4;16,6;70;
2013-04-30;84,4;26;19,8;14,7;70,2;
2013-05-31;101,4;20,9;15,7;11,8;78,1;
2013-06-30;25,8;18,9;13,5;9,4;77,6;
2013-07-31;102,4;19,5;13,4;8,8;74,5;
2013-08-31;23,1;19,6;12,7;7,7;65,4;
2013-09-30;42,5;23,7;17;11,8;63,5;
2013-10-31;85,1;27,1;20,4;14,2;61;
2013-11-30;225,1;28,8;22,9;17,3;66,5;
2013-12-31;89,9;33,7;27,2;20,8;54,3;
2014-01-31;171,9;32,8;26,7;21,5;63,2;
2014-02-28;325,9;31,5;25,7;21,2;67,5;
2014-03-31;198,1;27,7;21,5;16,2;70,9;
2014-04-30;84,9;25,8;20;15,3;72,6;
2014-05-31;150;21,6;16,1;12;79,2;
2014-06-30;83,2;18,7;13,4;8,7;81,4;
2014-07-31;89,4;20,5;14,6;10,2;80;
2014-08-31;25,2;23,7;16;10,4;68,6;
2014-09-30;220,4;23,9;18,1;13,6;77,3;
2014-10-31;131,6;28,1;22,2;16,9;71;
2014-11-30;50,6;29,4;23,2;17,7;62,2;
2014-12-31;472,9;29,4;23,9;19;70,2;
2015-01-31;231;31,2;25,5;20,1;72,8;
2015-02-28;141,7;30,9;25,3;21;69,4;
2015-03-31;89,6;30,1;23,5;18,4;68,4;
2015-04-30;28,3;28,7;21;14,5;61,4;
2015-05-31;100,6;23,6;17,4;13,1;75,6;
2015-06-30;52;21,2;15,4;11,2;77,5;
2015-07-31;76;19,2;13,9;9,8;82,5;
2015-08-31;146,1;24,4;18,6;14,2;76;
2015-09-30;58,4;24,3;17,2;11,6;66,1;
2015-10-31;317,4;24,4;18,8;14;74,5;
2015-11-30;244;26,4;21,3;16,4;71,4;
2015-12-31;367,2;29,4;24;19,3;73,5;
2016-01-31;107,6;33,1;27;21,2;62;
2016-02-29;91,3;32,4;25,9;20,9;72,9;
2016-03-31;113;27,4;21,3;16,5;73,7;
2016-04-30;365,2;24,7;20,7;17,1;85;
2016-05-31;73,6;19,4;13,9;9,6;75;
2016-06-30;104,4;17,8;11,3;7,1;71;
2016-07-31;88,6;18,8;13,2;9;76,9;
2016-08-31;89,4;22,9;15,4;10,1;69,1;
2016-09-30;25,2;22,9;15,6;9,7;64;
2016-10-31;249,2;25,5;19,4;14,3;70,4;
2016-11-30;78,4;29;21,9;15,5;59,2;
2016-12-31;79,4;32,3;25,1;19,4;63,3;
2017-01-31;76,9;31,6;25,4;20,5;70,5;
2017-02-28;173,9;31,2;24,7;20,4;74,3;
2017-03-31;83,3;29,7;22,7;17,7;71,5;
2017-04-30;286;25,1;19,1;14,7;73,2;
2017-05-31;232,2;22;17,1;13,7;85,1;
2017-06-30;88;20,6;14,7;10,8;80,1;
2017-07-31;80;23,5;15,9;11,3;69,7;
2017-08-31;144,2;22,8;16,1;11,7;75;
2017-09-30;null;23,9;18,3;14,7;78,1;
2017-10-31;null;25,3;19,4;15,6;68;
2017-11-30;null;29,1;21,7;15,8;52,5;
2017-12-31;null;33,2;25,9;20,2;52,3;
2018-01-31;null;null;null;null;null;
2018-02-28;null;32,2;24,9;19,2;56,3;
2018-03-31;null;30,1;22,6;17,1;62,8;
2018-04-30;null;29,5;22,9;19;73,1;
2018-05-31;null;21,9;16,9;13,7;81,4;
2018-06-30;null;17,5;11,3;7,2;79;
2018-07-31;null;16,9;12;8,7;79,7;
2018-08-31;null;19,1;12,7;8;73,7;
2018-09-30;null;24,7;19;14,6;74,1;
2018-10-31;null;26,4;20,3;15,7;65,6;
2018-11-30;null;29,3;23,3;18,6;69,1;
2018-12-31;null;29,2;23,6;18,8;68,6;
2019-01-31;null;null;null;null;null;
2019-02-28;null;null;null;null;null;
2019-03-31;null;null;null;null;null;

