Nome: IBIRUBA
Codigo Estacao: 83932
Latitude: -28.653476
Longitude: -53.111882
Altitude: 455.28
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2012-02-12
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;324,5;29,2;23,2;19,1;82,3;
2010-02-28;194,3;30,3;24,5;20,2;78,9;
2010-03-31;48,7;29,1;22,4;17,7;74,9;
2010-04-30;188,3;25,1;18,9;14,2;75,8;
2010-05-31;127,2;20;15,1;11,7;84,8;
2010-06-30;107,1;19,9;14;10,1;84,3;
2010-07-31;190,8;19,7;13,3;8,3;84,4;
2010-08-31;41;19,8;13,3;8,1;80,8;
2010-09-30;271,1;22,1;16,3;11,5;80,7;
2010-10-31;103,4;24,4;17,8;12,2;70,3;
2010-11-30;98,8;28,3;20,5;13,6;65,7;
2010-12-31;131,1;29,9;22,6;16,2;72,1;
2011-01-31;73,8;31,8;24,7;18,9;74,1;
2011-02-28;null;null;null;null;null;
2011-03-31;null;null;null;null;null;
2011-04-30;null;null;null;null;null;
2011-05-31;null;null;null;null;null;
2011-06-30;null;null;null;null;null;
2011-07-31;null;null;null;null;null;
2011-08-31;null;null;null;null;null;
2011-09-30;null;null;null;null;null;
2011-10-31;null;null;null;null;null;
2011-11-30;null;null;null;null;null;
2011-12-31;null;null;null;null;null;
2012-01-31;null;null;null;null;null;
2012-02-29;null;null;null;null;null;

