Nome: SANTA MARIA
Codigo Estacao: 83936
Latitude: -29.72472221
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;405,9;30,1;24,8;20,6;79;
2010-02-28;124,7;31,7;26;22;77,1;
2010-03-31;25,1;30,1;23,7;19,2;77,5;
2010-04-30;116,8;26,1;19,2;14,2;77,4;
2010-05-31;117,7;21;15,8;12,7;87,4;
2010-06-30;128,9;19,8;14,3;10,3;85,2;
2010-07-31;238,3;19,5;13,4;9;82,7;
2010-08-31;109,4;19,6;13,7;9,4;82,4;
2010-09-30;244,9;22;16,7;13,1;83,4;
2010-10-31;49,3;24,4;18,1;12,7;71,3;
2010-11-30;71,3;27,8;20,8;14,9;66,5;
2010-12-31;157,9;30,4;23,9;18,3;67,2;
2011-01-31;127,1;32,5;26,1;21,6;76,8;
2011-02-28;165,8;30;24,6;20,8;78,6;
2011-03-31;54,9;28,9;22,4;18;75,6;
2011-04-30;164,9;26,6;19,4;14,7;79,9;
2011-05-31;54,9;21,5;15,5;11,5;84;
2011-06-30;99;19,2;13,2;9,1;81;
2011-07-31;163,1;17,9;12,4;8,6;85,3;
2011-08-31;138,5;19,9;14,3;10,5;83,8;
2011-09-30;61,2;23,5;16,6;11,1;78,2;
2011-10-31;184,8;25,2;19,1;14,4;76;
2011-11-30;41,6;29;22,3;16,4;63;
2011-12-31;13,4;30,3;23,4;17,4;60,8;
2012-01-31;68,8;33;25,5;19,4;63;
2012-02-29;135,4;33,1;26,2;21,2;73,4;
2012-03-31;151,1;30,3;22,5;17;72,9;
2012-04-30;108,7;25,5;18,3;13,7;81,5;
2012-05-31;138,2;24,9;17,1;11,9;81;
2012-06-30;35,1;19,8;13,9;9,8;82,6;
2012-07-31;70,4;18,2;11,9;7,6;81,5;
2012-08-31;74,5;25,4;19;14,9;75,8;
2012-09-30;177,5;23,5;17,5;13,1;78,4;
2012-10-31;255,2;25,7;20,5;16,7;79,7;
2012-11-30;72,8;30,4;23,3;17,5;70,5;
2012-12-31;293;31,1;25;19,9;78;
2013-01-31;145,3;30,3;23,7;18,2;75,8;
2013-02-28;97,7;29,9;23,7;19,1;81;
2013-03-31;188,6;26,6;20,6;16,4;83,8;
2013-04-30;147,4;26,4;19,1;14,4;83,4;
2013-05-31;71,6;21,4;15,1;11;87,2;
2013-06-30;81,6;18,9;13,2;9,5;89,7;
2013-07-31;113,5;20;13,2;8,7;86,7;
2013-08-31;163,8;19,3;12,8;8,1;83,1;
