Nome: BENTO GONCALVES
Codigo Estacao: 83941
Latitude: -29.164588
Longitude: -51.534104
Altitude: 624.1
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2013-12-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;296,4;26,8;22;18,1;83,2;
2010-02-28;167,1;28,4;23;19,1;78,9;
2010-03-31;57,2;25,6;20,7;16,8;81,4;
2010-04-30;142,1;22,4;17,5;13,4;79,3;
2010-05-31;154,7;17,7;14,2;11,1;86,8;
2010-06-30;129,9;17,8;13,1;9;80,8;
2010-07-31;213,2;18,1;12,7;8;78,2;
2010-08-31;48,8;17,8;13;8,8;75,8;
2010-09-30;237,9;20,3;15,5;11,6;79,6;
2010-10-31;48,8;21,1;15,6;11,1;76,5;
2010-11-30;89,5;24,8;18,4;13,2;71,2;
2010-12-31;94,3;26,5;20,9;15,9;73;
2011-01-31;174,6;28,5;22,9;18,9;79,9;
2011-02-28;228,5;25,8;21,6;18,4;86;
2011-03-31;288,8;25;20;15,7;79,5;
2011-04-30;157,8;23;17,7;13,3;80,5;
2011-05-31;73;18,5;14,3;10,7;82,3;
2011-06-30;184,3;15,9;11,5;7,9;82,3;
2011-07-31;340,1;16,6;12;8,6;80,2;
2011-08-31;261,7;17,6;12,7;8,7;78,4;
2011-09-30;60,6;21,1;15,1;9,8;70,4;
2011-10-31;102,4;23,2;17,5;13;74,7;
2011-11-30;17,1;25,6;19,5;14,2;68;
2011-12-31;72,6;26,2;20,1;15;70,3;
2012-01-31;65,1;27,7;21,7;16,9;72,3;
2012-02-29;184,5;29,3;23,3;19;75,9;
2012-03-31;82,2;26,2;20,4;15,5;71,2;
2012-04-30;75,4;22,5;17,1;13,1;77,4;
2012-05-31;27,2;21,6;16,1;11,3;73,4;
2012-06-30;54,9;18,1;13,1;8,8;77,5;
2012-07-31;189,7;16,6;11,6;7,3;79,1;
2012-08-31;67,6;22,8;17,3;12,4;69,9;
2012-09-30;237,4;21,4;16;11,5;73,3;
2012-10-31;163,2;23,7;18,7;14,6;76,9;
2012-11-30;24,1;26,4;20,5;15,2;66,3;
2012-12-31;229,6;28,4;23;18,1;72,9;
2013-01-31;114,1;26,5;20,9;15,9;71,5;
2013-02-28;108,5;26,6;21,3;17,2;80,2;
2013-03-31;191,8;22,9;18,3;14,6;81;
2013-04-30;114,1;23,4;17,6;13;75,3;
2013-05-31;131,7;19,6;14,7;10,5;77,7;
2013-06-30;143,5;17,2;12,9;9,2;87,1;
2013-07-31;97,9;17,7;12,1;7,3;77,2;
2013-08-31;312;17,3;12;7,8;79,1;
2013-09-30;187,7;20,5;15,3;10,8;75,7;
2013-10-31;128,4;22,4;17;12,2;75,2;
2013-11-30;288,5;25,9;19,9;14,7;70,5;
2013-12-31;147,9;28,2;22,2;17;72,7;

