Nome: CAXIAS DO SUL
Codigo Estacao: 83942
Latitude: -29.1961111
Longitude: -51.18638888
Altitude: 750.16
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;305,8;26,4;21,5;17,8;82,6;
2010-02-28;111,4;28;22,6;18,8;77,1;
2010-03-31;106,7;24,7;19,9;16,4;83,7;
2010-04-30;149,8;21,8;17,1;13,4;81,2;
2010-05-31;155,9;17;13,6;11;87,5;
2010-06-30;110,7;17,3;12,8;9,3;81,5;
2010-07-31;224,6;17,8;12,7;8,9;77;
2010-08-31;56,7;17,6;12,5;8,8;76;
2010-09-30;208,2;20;15,2;11,6;75,9;
2010-10-31;73,1;20,1;15;11,3;76,1;
2010-11-30;116,1;23,4;17,7;13,4;73,1;
2010-12-31;63,6;25,6;20,3;16;73,5;
2011-01-31;201,9;27,2;22;18,6;81,3;
2011-02-28;179,6;25,2;21;18,1;85,8;
2011-03-31;204;24,3;19,3;15,7;79,7;
2011-04-30;156,1;22,3;17,6;14,2;79,9;
2011-05-31;76,4;17,8;13,7;11;82,1;
2011-06-30;171,2;15,7;11,5;8,6;79,3;
2011-07-31;299,5;16,3;11,8;8,9;79,4;
2011-08-31;274,9;17,3;12,3;8,7;78,3;
2011-09-30;88,2;20,6;14,6;10;70,5;
2011-10-31;113,9;22,5;16,9;13;73,6;
2011-11-30;21,5;24,7;18,7;13,9;70,5;
2011-12-31;60,2;25,2;19,4;15,3;71,4;
2012-01-31;252,4;26,4;20,9;16,8;74;
2012-02-29;195,9;28,5;22,9;19,3;75,6;
2012-03-31;80,8;25,5;19,9;16;72,3;
2012-04-30;93,6;21,5;16,6;13,3;78,5;
2012-05-31;41,5;21,1;15,7;11,9;72,7;
2012-06-30;83;17,7;12,9;9,5;77,1;
2012-07-31;203,6;15,9;11,1;7,7;78,9;
2012-08-31;68,1;22,4;17;12,8;69,1;
2012-09-30;218,2;21,3;15,5;11,4;73,6;
2012-10-31;205,2;23,7;18,4;14,7;76,5;
2012-11-30;70,6;25,4;19,7;15,1;67,8;
2012-12-31;253,3;27,6;22,3;18,2;75,9;
2013-01-31;131,6;25,7;20,1;15,7;74,2;
2013-02-28;157,3;25,7;20,7;17,2;81;
2013-03-31;159,9;22,2;17,8;14,8;83,3;
2013-04-30;93,3;22,8;17,3;13,6;78,5;
2013-05-31;110,8;19,5;14,7;11,4;79,3;
2013-06-30;144,9;17,1;12,9;10;86,2;
2013-07-31;82,3;17,5;12;8,3;75,7;
2013-08-31;373,6;17;11,8;8,2;78;
2013-09-30;186,2;20,4;15;11;76,1;
2013-10-31;140,5;21,8;16,2;12;76,3;
2013-11-30;284,9;25,3;19,2;14,6;70,6;
2013-12-31;185,2;27,8;21,7;17,2;72,8;
2014-01-31;163,1;28,7;23,1;19,2;73,6;
2014-02-28;231,5;29,1;22,8;18,6;73,2;
2014-03-31;145,1;24,6;19,6;16,3;79,9;
2014-04-30;111,4;22,2;17,4;14,2;80,6;
2014-05-31;115,3;18,4;13,9;11;84,6;
2014-06-30;287,4;16,8;12,9;10,2;85,3;
2014-07-31;166,3;18,2;13,2;9,7;77,7;
2014-08-31;98,1;21;14,6;10,1;71;
2014-09-30;177,2;21,1;16,1;12,5;80,4;
2014-10-31;209,1;24,3;18,5;14,3;76,5;
2014-11-30;122,5;25,5;19,9;15,5;72,9;
2014-12-31;210;26,4;20,9;17;78,2;
2015-01-31;168,6;27,9;22,2;18,5;77,9;
2015-02-28;80;26,9;21,2;17,7;80,9;
2015-03-31;94,1;25,3;20;16,6;81,2;
2015-04-30;159,8;22,8;17,5;14,1;81,7;
2015-05-31;148,1;19,8;15,2;12,4;82,7;
2015-06-30;215,9;18,3;13,5;10,1;77,9;
2015-07-31;272,1;17,7;13,4;10,4;84,1;
2015-08-31;117,5;23,3;18;14,4;68,3;
2015-09-30;279,4;20,1;15;11,5;79,2;
2015-10-31;370,9;20,8;16,3;13;85,5;
2015-11-30;127,1;22,8;18;14,6;81,3;
2015-12-31;223,9;25,7;21;17,4;82,6;
2016-01-31;147,4;27,8;22,3;18,3;74,9;
2016-02-29;189,7;27,8;22,6;19,1;79,4;
2016-03-31;298,7;23,8;19,2;16,3;82,6;
2016-04-30;245,8;24,9;19,8;16,7;81;
2016-05-31;66,1;16,1;12,1;9,4;87;
2016-06-30;6,3;14,8;9,7;6,5;75,6;
2016-07-31;275,5;17,9;12,3;8,7;76,1;
2016-08-31;134,5;19,1;14,1;10,8;75,4;
2016-09-30;69,7;20;13,7;9,6;74;
2016-10-31;334,7;22,4;16,7;12,5;75,3;
2016-11-30;115,7;24,5;18,3;13,5;71,5;
2016-12-31;112;26,5;21,2;17;75;
2017-01-31;196,5;27,3;22;18,2;78,7;
2017-02-28;80,4;28,5;23;19,3;76,2;
2017-03-31;262,5;25;19,6;16,1;80,3;
2017-04-30;139,3;21,9;17;13,8;78,4;
2017-05-31;282,4;19,5;15,6;12,9;84,3;
2017-06-30;181,1;18,4;13,6;10,5;78,9;
2017-07-31;28,7;20,2;14,4;10,5;67,3;
2017-08-31;153,4;20,9;14,9;10,7;75,5;
2017-09-30;116,8;24,6;18,7;14,9;77;
2017-10-31;210,2;22,4;17,1;13,4;76,5;
2017-11-30;207;23,6;17,6;13;73,1;
2017-12-31;113,9;27,1;21,3;16,9;77,8;
2018-01-31;169,9;26,4;21,1;17,4;79;
2018-02-28;121,3;26,2;20,5;16,5;75,5;
2018-03-31;117,7;25,4;20,1;16,6;80,2;
2018-04-30;127,4;25,2;19,9;16,6;78;
2018-05-31;124,8;20,2;15,4;12,3;80,1;
2018-06-30;166,7;17;11,9;8,6;81,4;
2018-07-31;187,8;17,8;12,9;9,5;83,4;
2018-08-31;173,1;17,6;12;8,3;79,6;
2018-09-30;233;21,7;16,7;13,3;80,9;
2018-10-31;237,5;22,1;16,8;12,9;79,3;
2018-11-30;204,2;25,5;19,6;15,1;72,7;
2018-12-31;200;26,8;21;16,8;73,2;
2019-01-31;140,3;29;23,5;19,7;78,1;
2019-02-28;133;26;20,8;17,2;78,6;
2019-03-31;114,9;24,5;19,4;16,2;80,3;
2019-04-30;187,2;23,2;18,5;15,5;85,7;
2019-05-31;214,5;20;15,9;13,6;88,9;
2019-06-30;33;21;16,1;12,9;76;
2019-07-31;88,1;17,1;12;8,6;76,6;
2019-08-31;104,1;19,9;13,1;8,6;75,2;
2019-09-30;102,5;20,9;14,9;10,7;78,5;
2019-10-31;299;23,2;18,1;14,2;81;
2019-11-30;199,1;24,9;19,2;15,2;77,3;
2019-12-31;61,5;28,3;21,7;17;64,5;
2020-01-31;154,7;27,2;21,6;17,8;75,1;
2020-02-29;null;26,8;20,9;17,3;null;
2020-03-31;10,7;28;21,5;17,3;70,3;
2020-04-30;29,9;22,7;17;13,1;70,1;
2020-05-31;146,1;20;14,6;11,1;70,6;
2020-06-30;188,3;18,7;14,2;10,8;79,1;
2020-07-31;399,3;17,1;12;8,4;76,9;
2020-08-31;115,3;20,9;14,7;10,3;70,5;
2020-09-30;142,9;22,1;16;11,4;78,2;
2020-10-31;68,5;23,9;17,7;13;74,2;
2020-11-30;52;25;18,7;13,9;72,1;
2020-12-31;135,9;26,5;20,6;16,7;75;
2021-01-31;276,9;26,9;21,5;17,8;77,1;
2021-02-28;null;26,2;20,7;17,3;null;
2021-03-31;128,4;25;20,1;17;82,1;
2021-04-30;13,6;23,6;17,8;14,2;74,4;
2021-05-31;217,2;18,6;13;9,6;78,6;
2021-06-30;179,1;15,9;12,1;9,1;83,6;
2021-07-31;28,8;18,1;12,6;8,5;67,1;
2021-08-31;148,5;20,9;15,1;10,9;76,4;
2021-09-30;173,9;21,3;16;12;81,7;
2021-10-31;130;22,4;16,7;12,8;75,4;
2021-11-30;51;24,9;18,9;14,6;72,8;
2021-12-31;30,8;27,3;20,8;16,2;70;
2022-01-31;115,2;30,1;23,4;18,9;68,6;
2022-02-28;null;28,7;22,4;17,7;null;
2022-03-31;242,5;24,8;19,4;15,9;81,2;
2022-04-30;135,2;21,9;17,1;13,5;79,9;
2022-05-31;287,7;16,4;12,5;9,9;null;
2022-06-30;229,8;15,2;11;7,9;83,4;
2022-07-31;157,2;21,2;16;12,2;75,6;
2022-08-31;131,6;19,6;13,4;8,9;76,5;
2022-09-30;93;19,3;13,5;9,3;75,8;
2022-10-31;92,4;21,4;15,9;12,1;78,4;
2022-11-30;93,8;23,5;17,9;13;69,5;
2022-12-31;79;27,1;21;16,6;71,8;
2023-01-31;82,8;29,1;22,7;18,3;69,8;
2023-02-28;163,9;26,7;21,3;17,9;null;
2023-03-31;119,2;27,5;22;18,7;77,3;
2023-04-30;45,1;22,2;17,1;13,7;78,2;
2023-05-31;114,7;20,7;16;12,9;78,2;
2023-06-30;223,3;18,4;14;10,8;79,2;
2023-07-31;224,9;18,2;13,3;10;81,6;
2023-08-31;81,1;21,1;15,1;10,7;72,2;
2023-09-30;437,2;21,2;15,8;12,8;null;
2023-10-31;279,1;21,4;16,7;12,9;84,1;
2023-11-30;478,7;24,2;19,4;15,5;79,4;
2023-12-31;141,5;27,2;21,6;17,5;78,1;
2024-01-31;184,5;26;20,7;17,1;80,8;
2024-02-29;140,9;28,1;22,5;18,8;null;
2024-03-31;86,4;26,9;21,4;17,9;79,5;
2024-04-30;319,8;23,7;19,1;16,4;84,8;
2024-05-31;845,3;18,5;14,2;11,1;87,4;
2024-06-30;311,3;20;15,5;12,7;77,2;
2024-07-31;83,6;16,4;12,3;9,3;81,4;
2024-08-31;105,3;20,1;14,5;10,8;73,2;
2024-09-30;154,2;23,7;17,9;14,1;74,5;
2024-10-31;122,8;23,5;17,9;14,2;76,9;
2024-11-30;132,4;25,5;20,1;16,5;73,5;
2024-12-31;201,9;24,7;19,1;15,6;76,8;

