Nome: CAMBARA DO SUL
Codigo Estacao: 83946
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1015.97
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;225,8;23,9;18,7;14,3;87,7;
2010-02-28;163,4;25,9;20;15,5;83,5;
2010-03-31;163,5;22,6;17,4;13,4;86,9;
2010-04-30;162,4;20,1;14,8;10,2;86,9;
2010-05-31;253,4;16,1;11,8;8,7;92,8;
2010-06-30;137,7;16,3;10,6;6,3;86,8;
2010-07-31;160,2;17,1;10,6;5,4;85,6;
2010-08-31;76;16,9;10,6;5,4;83,4;
2010-09-30;178,7;18,3;12,4;8,3;86,5;
2010-10-31;79,2;18,7;12,4;7,3;86,9;
2010-11-30;213,6;21,7;15,2;10,3;84,8;
2010-12-31;76,3;23,6;17,5;11,8;85,6;
2011-01-31;239;25,9;19,3;15;87,1;
2011-02-28;289,5;24;18,9;15,4;90;
2011-03-31;198,1;21,7;16,4;12,7;88;
2011-04-30;139,4;21,5;15,3;10,5;87,3;
2011-05-31;74,4;16,8;11,5;7,6;88,4;
2011-06-30;196,2;15,1;8,9;4,8;86,8;
2011-07-31;305,2;16,2;10;5,7;86,9;
2011-08-31;407,4;15,8;10,1;5,4;86,6;
2011-09-30;126,8;18,8;11,7;6,3;82,5;
2011-10-31;166,4;20,8;14,7;10,1;82,2;
2011-11-30;43,5;21,9;15,4;10,3;81,4;
2011-12-31;116,1;22,4;16,4;11,7;82,9;
2012-01-31;236,2;24,3;18,1;13,6;84,6;
2012-02-29;166,3;27,5;20,4;15,6;81,9;
2012-03-31;35,7;24,6;17,5;12,3;79,8;
2012-04-30;73;21,3;14,8;10,3;84,1;
2012-05-31;30,3;19,4;13;8,1;83;
2012-06-30;98,5;17,7;11,1;6,4;83;
2012-07-31;255,1;15,3;9,4;5;83,5;
2012-08-31;70,5;21,2;14,3;9,2;76,4;
2012-09-30;232,6;20,1;13,4;8,2;81,7;
2012-10-31;213,3;22,5;16,4;11,8;81,4;
2012-11-30;26,4;23,6;16,7;11,3;80,2;
2012-12-31;199,6;25,8;19,4;14,3;82,4;
2013-01-31;106,7;23,8;17,6;12,9;82,3;
2013-02-28;277,4;24,1;18,5;14,6;88,1;
2013-03-31;221,5;20,9;15,9;12;88,6;
2013-04-30;67,6;21,5;15;10;84;
2013-05-31;71,9;18,4;12,5;7,5;82,1;
