Nome: TORRES
Codigo Estacao: 83948
Latitude: -29.35027777
Longitude: -49.71666666
Altitude: 4.66
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-04-26
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;164,9;27,8;24,6;21,6;84,9;
2010-02-28;158,4;29,8;25,9;22,3;80,1;
2010-03-31;162,5;27,3;24;20,7;83;
2010-04-30;138,8;24,7;20,8;17,6;82,6;
2010-05-31;272;21,8;18,2;15,3;86,4;
2010-06-30;72,5;19,8;15,6;12;84,4;
2010-07-31;87,4;19,7;15,1;11,3;84,2;
2010-08-31;54,6;18;14,3;10,8;83,9;
2010-09-30;124,5;20,5;17,5;14,3;83,3;
2010-10-31;39;21,8;18,2;14,5;79,5;
2010-11-30;145,5;23,8;20,2;16,4;80,6;
2010-12-31;71,7;25,8;22,5;19,4;82,2;
2011-01-31;324,5;28,2;24,8;22;87,6;
2011-02-28;185,2;27,8;24,8;22,4;86,2;
2011-03-31;129;24,8;21,6;18,5;84,9;
2011-04-30;99,5;24,6;20,4;16,7;85,6;
2011-05-31;57,8;22,3;17,8;14,2;81,9;
2011-06-30;168,4;19;14,1;10,3;83,2;
2011-07-31;265,7;16,9;13,3;10,5;89,2;
2011-08-31;330,1;18,6;14,9;11,9;82,4;
2011-09-30;93,7;19,2;15,7;11,8;85;
2011-10-31;77,6;21,8;18,9;15,8;82,6;
2011-11-30;31,3;23,5;20,1;16,9;80,5;
2011-12-31;162,7;25;21,5;17,9;84,1;
2012-01-31;236,6;26,1;23;20,1;86;
2012-02-29;54,9;27,6;23,8;20,5;85,4;
2012-03-31;12;27,3;23;18,7;77,2;
2012-04-30;71,9;24,6;20,4;16,5;79;
2012-05-31;19,8;23,6;18,7;14,3;83,1;
2012-06-30;66,9;19,8;14,9;10,7;84,1;
2012-07-31;127,2;18;13,7;10,1;81,5;
2012-08-31;112,3;21,2;17,3;13,9;87,8;
2012-09-30;199,3;21,6;18;14,7;81,5;
2012-10-31;124,2;23,7;20,1;17,2;83,8;
2012-11-30;32,7;25,1;21,4;17,7;82,2;
2012-12-31;234;27,7;23,6;20;84;
2013-01-31;152,1;27,3;23,7;19,9;75;
2013-02-28;290;27,7;24,1;21;83,6;
2013-03-31;240,9;25,5;22;18,2;81,5;
2013-04-30;62,9;24,8;20,5;16,3;81,1;
2013-05-31;27,1;22;17;12,7;83,1;
2013-06-30;102,2;19,5;15,6;12,5;88,2;
2013-07-31;57,8;18,7;13,4;9,4;85;
2013-08-31;419,1;18,1;13,8;10,2;86,3;
2013-09-30;141,1;20,2;16,6;13,3;85,8;
2013-10-31;73,4;22,6;19,1;15,7;82,1;
2013-11-30;149,9;23,9;20,4;17,1;82;
2013-12-31;79,7;26,6;22,9;19,7;84,6;
2014-01-31;173,2;29;24,9;21,3;84;
2014-02-28;432,4;28,9;25,1;21,8;82,8;
2014-03-31;268,2;26,7;23;19,5;84,4;
2014-04-30;74,3;25,2;21,3;17,8;81,5;
2014-05-31;94;21,9;17,6;14,2;84;
2014-06-30;196,5;19,9;15,7;12,4;87,7;
2014-07-31;91;19,8;15,5;11,9;86;
2014-08-31;101,2;20,5;15,7;11,7;82,9;
2014-09-30;123,4;21,5;18,2;15;86,9;
2014-10-31;133,9;23,5;20,2;17,4;83,5;
2014-11-30;73,9;25,4;21,8;18,3;80,8;
2014-12-31;94,5;27,3;23,7;20,1;81,3;
2015-01-31;182;29,7;25,6;22,2;82,2;
2015-02-28;213,5;28,5;24,5;21;84;
2015-03-31;129,3;27,1;23,3;19,8;83,3;
2015-04-30;152,7;24,9;21;17,5;83,5;
2015-05-31;308,3;22,6;18,5;15,2;86,7;
2015-06-30;111,1;21,3;15,9;11,6;84,3;
2015-07-31;239,7;19,7;15,9;12,7;90;
2015-08-31;97,4;22,5;18,9;16;85,8;
2015-09-30;252,7;21,2;17,5;14,4;84,9;
2015-10-31;268,5;21,6;18,6;15,9;87;
2015-11-30;101,8;24;20,7;17,9;83,9;
2015-12-31;148;26,7;23,3;20,4;86,2;
2016-01-31;69,1;27,6;23,8;20,5;84,6;
2016-02-29;88,3;28,6;24,5;21,3;84,9;
2016-03-31;217,8;27,6;23,4;19,4;82,1;
2016-04-30;295,3;26,7;22,8;19,9;84,4;
2016-05-31;31,2;20,4;16;12,3;85,8;
2016-06-30;14,5;16,9;11,8;7,5;82,7;
2016-07-31;123,7;18,3;13,7;9,6;84,5;
2016-08-31;80;20,3;15,3;11,4;86;
2016-09-30;53,8;21,2;16,6;12,7;80,6;
2016-10-31;215,5;21,8;18,7;15,6;84,5;
2016-11-30;72,5;25,2;20,9;16,6;75,6;
2016-12-31;224;27,3;23,4;19,6;82;
2017-01-31;184,8;29,4;25,4;21,9;80,5;
2017-02-28;78,9;29,6;25,8;22,3;82,3;
2017-03-31;209,8;27,9;23,8;20,1;79,2;
2017-04-30;66,4;24,6;20,3;16,8;83,2;
2017-05-31;186,9;22,5;18,9;15,7;88,8;
2017-06-30;167,9;21,4;16,1;12,4;86,8;
2017-07-31;4,1;21,5;15,7;10,9;84,6;
2017-08-31;85,8;21,8;17,6;13,5;81,7;
2017-09-30;160,6;22,2;19,2;16,8;87,7;
