Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: 83953
Latitude: -30.842617
Longitude: -55.613073
Altitude: 328.22
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2013-12-16
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;204,1;30,1;23,4;17,9;77,3;
2010-02-28;240,7;28,9;23,1;18,9;82,8;
2010-03-31;58,9;28,5;21,8;17,2;79,9;
2010-04-30;132;23,9;17,1;12,6;78,8;
2010-05-31;133,4;19,2;14,3;11,2;86,7;
2010-06-30;33,7;17,2;12,1;8,6;84;
2010-07-31;295,3;17;10,9;6,9;80,9;
2010-08-31;53,3;17,7;11,6;7,3;78,5;
2010-09-30;182,6;20,2;14,4;9,8;81,2;
2010-10-31;19,4;23,2;16,2;10,7;68,1;
2010-11-30;29;27,7;19,7;12,9;59,8;
2010-12-31;56;31,2;23,7;16,7;57,3;
2011-01-31;61,6;31,6;25;19,7;70,3;
2011-02-28;67,8;29,3;22,8;18;77,5;
2011-03-31;82,8;27,9;21;15,5;72,2;
2011-04-30;103,5;25,1;18,5;13,9;75;
2011-05-31;42,6;19,8;13,8;9,7;85,2;
2011-06-30;118,4;16,8;11,2;7,5;85,4;
2011-07-31;127,4;16;10,4;6,6;82,7;
2011-08-31;65,6;17;11,7;7,8;82,5;
2011-09-30;119,4;21,3;14,7;9,6;75;
2011-10-31;154,5;22,4;16,8;12,2;80,6;
2011-11-30;54,1;27,6;20,5;14,3;69,3;
2011-12-31;44,9;28,3;21,4;15,3;66,5;
2012-01-31;18,7;32,5;24,6;17,3;60,9;
2012-02-29;220,5;29,9;23,9;18,9;75,7;
2012-03-31;58,5;27,8;21,3;15,8;73;
2012-04-30;147,5;23,1;17,3;12,7;75,1;
2012-05-31;13,1;22,4;16,4;12;78,7;
2012-06-30;77,7;17,3;12,2;8,2;81,4;
2012-07-31;32,2;15,4;9,5;5;76,4;
2012-08-31;127,3;21,4;15,8;11,4;79,9;
2012-09-30;156,1;20,8;15,4;10,5;79,5;
2012-10-31;298,2;22,9;18,2;14;82,1;
2012-11-30;58;27,9;21,5;15,6;67,5;
2012-12-31;179,8;29,1;23,1;17,6;73,7;
2013-01-31;158,2;28,1;21,9;16,5;73,7;
2013-02-28;84,2;27,9;22;17,2;76,9;
2013-03-31;73,9;24,9;18,9;13,6;76,3;
2013-04-30;120,7;23,8;17,8;12,6;78,2;
2013-05-31;200,6;18,3;13,5;9,9;84,5;
2013-06-30;42,7;17,7;12,1;8,2;83,4;
2013-07-31;68,7;17,8;11,6;7,4;82,2;
2013-08-31;65,6;17,3;10,9;5,8;76,1;
2013-09-30;119,6;20,8;14,6;9,9;75,9;
2013-10-31;139,8;24;17,4;11,9;72;
2013-11-30;282,6;26,1;20,1;14,7;73,6;
2013-12-31;null;29;22,8;16,1;65,8;

