Nome: TRIUNFO
Codigo Estacao: 83954
Latitude: -29.869757
Longitude: -51.379201
Altitude: 23.6
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2013-06-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;142,5;30,6;25;20,3;81,3;
2010-02-28;141,4;32,6;26;21,2;89,6;
2010-03-31;115,9;29;23,3;19,2;90,4;
2010-04-30;93,8;25,6;19,6;14,8;92,2;
2010-05-31;88,7;21,3;16,8;13,1;90,4;
2010-06-30;180;20,9;14,9;10,5;88,6;
2010-07-31;191,8;20;14,2;9,4;86,7;
2010-08-31;78,7;20;14,4;9,8;90,2;
2010-09-30;228,2;22,3;17,2;13;86,9;
2010-10-31;51,1;23,9;18,1;13,2;82,1;
2010-11-30;92,8;27,9;20,8;15,3;78;
2010-12-31;78,9;29,6;23,1;17,8;81,6;
2011-01-31;67,8;32,1;25,8;21,4;82,1;
2011-02-28;189;29,5;24,4;20,4;84,8;
2011-03-31;214,7;28,7;22,3;17,1;83,3;
2011-04-30;200,1;25,9;19,9;15,6;85,6;
2011-05-31;24,4;21,5;16,1;11,6;85,5;
2011-06-30;110,5;19,1;13,7;9,3;83,4;
2011-07-31;243,1;18,3;13;8,8;86,2;
2011-08-31;225;19,7;14,4;10,1;81,7;
2011-09-30;61,5;23,6;16,6;10,9;78,2;
2011-10-31;158,3;25,5;19,5;15;76,9;
2011-11-30;17;28,6;21,3;15,7;71,9;
2011-12-31;70,3;29,4;22,4;17,2;73,6;
2012-01-31;131,5;31,1;24,1;18,7;75,1;
2012-02-29;206,6;33,2;26;21,5;77;
2012-03-31;102,1;29,4;22,7;17,7;75,6;
2012-04-30;76,4;25,4;19,3;15;79,4;
2012-05-31;45,8;25,1;18;12,8;81,8;
2012-06-30;27,4;20,5;14,5;9,4;85,6;
2012-07-31;163,7;19;13;8,8;92,1;
2012-08-31;88;25,9;18,8;14,1;88,3;
2012-09-30;253,7;24,4;17,9;13,2;88,3;
2012-10-31;178,9;26,3;20,7;16,3;88,6;
2012-11-30;58,2;29,7;22,6;16,7;85,3;
2012-12-31;208,7;32,1;25,3;19,9;86,4;
2013-01-31;135;29,9;23,4;18,2;87;
2013-02-28;111,1;30,9;24,4;19,6;88,5;
2013-03-31;100,2;26,7;21,1;16,6;89,1;
2013-04-30;87;26,7;19,8;14,3;87,5;
2013-05-31;67,1;24;16,6;11,8;88,1;
2013-06-30;107,6;20;14,2;9,6;92,3;

