Nome: CAMPO BOM
Codigo Estacao: 83961
Latitude: -29.677684
Longitude: -51.049914
Altitude: 28.96
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2013-11-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;219,3;31,9;25,1;20,3;81,5;
2010-02-28;235,4;33,5;25,8;21,1;79,1;
2010-03-31;152,4;30;23,2;18,9;83;
2010-04-30;157,1;26,8;19,3;14,8;85,6;
2010-05-31;135,9;22,1;16,5;13;87,6;
2010-06-30;131,4;21,4;14,3;10;85,7;
2010-07-31;202;22;14;9,1;82,8;
2010-08-31;54,1;21,7;14,2;9,5;81,4;
2010-09-30;245,8;23,9;17,2;12,8;80,7;
2010-10-31;50,4;25,7;17,9;12,4;76,8;
2010-11-30;131,1;29,3;20,8;14,7;74,3;
2010-12-31;87,6;31,3;23,3;17,3;73,9;
2011-01-31;157,9;33,6;25,6;20,9;79,9;
2011-02-28;266,4;30,7;24,3;20,4;84,8;
2011-03-31;154,2;29,5;22;17,2;81,3;
2011-04-30;296,8;27,3;19,6;15,2;84,4;
2011-05-31;42,8;23,1;15,9;11,9;86,6;
2011-06-30;133;20;13,3;9,4;84,8;
2011-07-31;280,7;19,5;13;9,2;86,1;
2011-08-31;246,1;20,8;14,3;10,2;82,5;
2011-09-30;71;25,4;16,1;10,3;80,2;
2011-10-31;172,3;27,5;19,8;14,8;76,2;
2011-11-30;7,6;30,8;21,8;15,4;71,6;
2011-12-31;72,5;31,4;22,9;17;71;
2012-01-31;257,6;32,6;24,2;18,8;76,1;
2012-02-29;190,9;34,9;26,1;21;77,3;
2012-03-31;105,8;31,8;22,5;17,4;77,6;
2012-04-30;85,6;26,6;18,9;14,7;82,7;
2012-05-31;46,4;26,5;17,2;11,9;83,2;
2012-06-30;37,3;21,9;14;9,4;83,2;
2012-07-31;199,1;20,1;12,7;7,8;81,9;
2012-08-31;88,9;27,6;18,7;13,4;78,1;
2012-09-30;248,6;25,4;17,6;12,4;78,7;
2012-10-31;192,9;28,2;21,1;16,3;79,3;
2012-11-30;22;32,6;22,8;15,8;70,1;
2012-12-31;266,5;33,2;25,4;19,6;74,8;
2013-01-31;110;32,1;23,5;17,2;73,8;
2013-02-28;138,5;32,1;24,2;18,9;79,7;
2013-03-31;149,5;28;20,8;16,3;82,8;
2013-04-30;96,1;28;19,2;13,9;80,9;
2013-05-31;71,3;23,4;15,7;10,9;83,2;
2013-06-30;97,2;20,5;14,2;10,2;88;
2013-07-31;148,5;21,6;12,7;7,5;83,1;
2013-08-31;370,7;21,1;13,1;8,1;84,3;
2013-09-30;171,4;24,4;16,8;11,7;82,8;
2013-10-31;155,1;27,1;19;13,3;78,6;
2013-11-30;218,5;30,8;22,4;16,1;73;

