Nome: ENCRUZILHADA DO SUL
Codigo Estacao: 83964
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;209,5;28,9;22,9;18,9;75,7;
2010-02-28;107,1;30,1;24;19,8;76,4;
2010-03-31;54,8;27,8;21,7;18,1;76,3;
2010-04-30;107,6;23,9;18,2;14,2;73,7;
2010-05-31;124,7;19,3;15;12,1;85;
2010-06-30;160,1;18;13;9,9;80,5;
2010-07-31;212,9;17,6;12,1;8,3;79,9;
2010-08-31;86,4;17,4;12,4;8,7;76,7;
2010-09-30;187,4;20,2;14,9;11,5;80,4;
2010-10-31;51,6;22,8;16,1;11,3;70,7;
2010-11-30;57,6;25,8;18,7;13,3;66,4;
2010-12-31;64,8;29,6;21,9;16,4;65,9;
2011-01-31;159,3;30,5;24;19,8;77,5;
2011-02-28;218,3;28,4;22,6;19,1;78,8;
2011-03-31;128,1;26,6;20,4;16,6;77,4;
2011-04-30;161,6;24,5;18,4;14,6;77,7;
2011-05-31;44,7;19,3;14,3;11,3;81,9;
2011-06-30;125,9;16,8;11,7;8,3;80,2;
2011-07-31;197,8;15,4;11;8;81,1;
2011-08-31;163,2;17,1;12;8,5;79,7;
2011-09-30;75,8;20,9;14,5;10,2;72,1;
2011-10-31;192,6;22,9;16,8;12,7;75,1;
2011-11-30;47,4;26,8;19,6;14,3;66,9;
2011-12-31;71,1;27,1;20,2;15,3;69,5;
2012-01-31;65,9;29,8;22,4;17,3;69;
2012-02-29;164,2;31,1;24;19,5;72,5;
2012-03-31;54,9;28,1;21,5;16,8;68,2;
2012-04-30;90,7;23,1;17,4;13,6;73,7;
2012-05-31;53,6;22,7;16,7;13,1;75,7;
2012-06-30;11,9;18,4;12,9;9,1;76,3;
2012-07-31;157,1;16,3;10,4;6,5;77,7;
2012-08-31;109,1;22,3;16,8;13,1;73,7;
2012-09-30;278,4;20,7;15,4;11,6;75,3;
2012-10-31;161;24;18,4;14,2;77,9;
2012-11-30;73,6;28,3;21,2;15,7;64,9;
2012-12-31;189,5;29,9;23,5;18,4;68,4;
2013-01-31;155,4;28,5;21,6;16,7;71;
2013-02-28;133,2;28,6;22;18,1;75,5;
2013-03-31;70,5;24,9;19,1;15,3;77,5;
2013-04-30;129,2;24,4;18,1;14;73,8;
2013-05-31;151,6;19,4;14,2;10,7;80,5;
2013-06-30;89,9;17,4;12,3;9;83,2;
2013-07-31;95,3;17,4;11,9;8,3;78,6;
2013-08-31;181,9;16,3;11,2;7,6;79,2;
2013-09-30;80,3;20,3;15,1;11,3;77,1;
2013-10-31;200,9;22,7;16,8;12,4;75,2;
2013-11-30;198,4;26,2;19,8;15,3;72,3;
2013-12-31;99,3;30,6;23,2;17,7;67,3;
2014-01-31;178,8;30,9;24,4;19,6;71,3;
2014-02-28;202,2;30;23,5;19,4;75,8;
2014-03-31;164,9;26,1;20,4;16,6;76,9;
2014-04-30;103;23,7;18,3;15;79;
2014-05-31;109,8;19,1;14,4;11,5;83,4;
2014-06-30;218,3;17,2;13;10,2;83,8;
2014-07-31;244,7;18,4;13,2;9,9;83,1;
2014-08-31;131,9;20,5;14,2;9,9;74,6;
2014-09-30;159,6;21,5;15,9;12,3;81,8;
2014-10-31;190,9;25;18,9;14,7;76,1;
2014-11-30;128,6;27,3;20,8;16;69,9;
2014-12-31;165,7;27,5;21,8;17,8;74,8;
