Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;173,7;30,3;25,1;21,2;77,6;
2010-02-28;110,9;32,4;26,4;22,2;73,7;
2010-03-31;103,1;29;23,7;19,7;79;
2010-04-30;71,6;26;20,2;15,7;78,8;
2010-05-31;119,9;21,4;17,3;14,3;85,9;
2010-06-30;204,6;20,5;15,1;11,1;83,2;
2010-07-31;170,2;20,7;14,4;10;81,1;
2010-08-31;95,5;20;14,6;10,9;80,7;
2010-09-30;180,8;22;17,5;14,3;79,4;
2010-10-31;57,8;23,9;18,4;14;73,7;
2010-11-30;72,1;27,5;21;16,1;70,6;
2010-12-31;92,9;29,7;23,6;19;73,1;
2011-01-31;135,7;32;26,2;22,6;78,9;
2011-02-28;119,5;30,2;25,1;21,7;80,2;
2011-03-31;83,1;28,8;23;19,2;77,2;
2011-04-30;172,7;26,7;20,4;16,5;82,5;
2011-05-31;50,1;22,2;16,6;13,2;83,5;
2011-06-30;109,6;18,8;13,7;10,4;82;
2011-07-31;225,7;18,4;13,2;10;84,9;
2011-08-31;182,3;19,9;14,7;11,4;79,9;
2011-09-30;53;23,5;16,7;12;75;
2011-10-31;123,7;25,8;19,8;15,8;72,9;
2011-11-30;13,7;28,8;21,9;17;68,8;
2011-12-31;52,1;29,6;22,9;18,4;70,3;
2012-01-31;166;31,3;24,8;20,2;70,3;
2012-02-29;139,5;33,6;26,6;22,3;71,7;
2012-03-31;122,7;30,3;23,5;18,8;69,4;
2012-04-30;77,1;26,1;19,9;16;75,6;
2012-05-31;35,7;25,5;18,6;14,4;78;
2012-06-30;31,9;21,3;14,8;10,5;79,8;
2012-07-31;144,9;19,7;13,3;9,2;77,9;
2012-08-31;93,6;26,3;19,1;14,6;74,8;
2012-09-30;273,7;24;18,2;14,2;75,3;
2012-10-31;121,1;27,1;21,2;17,4;75,4;
2012-11-30;26;30,3;23,3;18,1;67,1;
2012-12-31;196;32,8;25,7;20,1;68,4;
2013-01-31;106,1;31,4;24,2;19,1;67,3;
2013-02-28;112,8;30,3;24,6;20,8;73,9;
2013-03-31;78;26,8;21,7;18,2;76;
2013-04-30;108,9;26,5;20,3;16,1;74,3;
2013-05-31;65,3;22,2;16,4;12,7;80,4;
2013-06-30;100,7;19,5;14,6;11,5;84,6;
2013-07-31;115,9;19,9;13,6;9,4;80,6;
2013-08-31;247,4;19,5;13,7;9,8;82,4;
2013-09-30;135,3;23,2;17,5;13,6;78,4;
2013-10-31;131,8;24,9;19,2;15;74,8;
2013-11-30;184,6;28,6;22,3;17,5;71,2;
2013-12-31;76,6;31,3;24,9;20,3;70,9;
2014-01-31;76,8;33,1;26,6;21,9;71,3;
2014-02-28;147,7;32,3;26,2;21,8;74,3;
2014-03-31;126,4;28,3;23,1;19,4;77,7;
2014-04-30;83,5;26,5;21,1;17,4;76,9;
2014-05-31;71;21,7;16,8;13,7;83,9;
2014-06-30;228,6;19,9;15,2;12,1;87,1;
2014-07-31;253,5;21,2;15,3;11,3;82,9;
2014-08-31;129,1;22,8;15,9;11,5;78,1;
2014-09-30;154,2;24;18,6;14,9;81,1;
2014-10-31;185,3;26,7;21,1;17;76,6;
2014-11-30;101,9;28,9;22,9;18,4;72,6;
2014-12-31;172,2;29,6;24,4;20,4;75;
2015-01-31;160,4;30,9;25,5;21,7;75,5;
2015-02-28;95;30,2;24,9;21,2;77,4;
2015-03-31;52,9;29,5;24;20,1;75,6;
2015-04-30;72,5;26,8;21;17,1;77,2;
2015-05-31;136;23,6;18,2;14,8;83,2;
2015-06-30;170;21,2;15,4;11,6;82,7;
2015-07-31;309,2;20,2;15,6;12,7;87,1;
2015-08-31;108,9;26,2;20,2;16,2;74,6;
2015-09-30;184;22,1;17,2;13,8;78,5;
2015-10-31;307,3;23,6;18,8;15,4;81,3;
2015-11-30;123,7;25,7;20,9;17,5;76,6;
2015-12-31;95,5;29;23,9;20,2;78,4;
