Nome: TEUTONIA
Codigo Estacao: 83972
Latitude: -29.448748
Longitude: -51.799035
Altitude: 64.45
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2011-11-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;307,4;30,7;24,4;17,2;79,6;
2010-02-28;204,1;32,7;25,9;19,9;77,2;
2010-03-31;121,2;29,5;23,7;18,5;81,4;
2010-04-30;116,5;26,1;19,9;14,7;82,8;
2010-05-31;152,6;22,2;16,5;12,4;88;
2010-06-30;137,6;21,4;15,2;10,2;86,5;
2010-07-31;206,6;21,9;14,6;9,7;80,3;
2010-08-31;54,4;21,1;14,4;8,8;81,3;
2010-09-30;291;23,1;17,6;12,6;78,5;
2010-10-31;60;24,8;18,1;11,8;76,1;
2010-11-30;115,1;28;20,9;14;70,8;
2010-12-31;99,3;30,6;23,8;16,3;70,7;
2011-01-31;178,6;33;26;20,2;76,3;
2011-02-28;170,6;29,7;24,3;19,7;84,6;
2011-03-31;139,2;29,2;22;16,4;82,5;
2011-04-30;259,8;26,8;19,4;13,3;86,1;
2011-05-31;34,4;22,4;15,8;10,4;87,6;
2011-06-30;169,9;19,5;13,1;7,1;86;
2011-07-31;287,6;20;13,1;8,3;87,7;
2011-08-31;281,4;22,3;15,1;9,7;79,7;
2011-09-30;71,9;null;null;10,2;80;
2011-10-31;180,2;26,4;19,4;14,5;78,9;
2011-11-30;16,7;27,8;21,3;14,6;71;

