Nome: BAGE
Codigo Estacao: 83980
Latitude: -31.30555555
Longitude: -54.11944443
Altitude: 245.66
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;212,7;29;23,6;18,2;71,3;
2010-02-28;225,4;29,2;24;19,4;77;
2010-03-31;77,3;27,5;21,9;17;71,2;
2010-04-30;81,3;24;17,5;12,7;72,9;
2010-05-31;102,7;19,7;15,1;11,6;80,8;
2010-06-30;106,8;17,1;12,1;8,4;77,1;
2010-07-31;261,1;17,3;11,2;6,8;75,5;
2010-08-31;40;17,3;12;7,5;75,3;
2010-09-30;116,5;20,7;15,2;10,8;75;
2010-10-31;30,2;23;16,8;10,9;65,7;
2010-11-30;35,6;26,5;19,5;13;62,4;
2010-12-31;65;30,8;23,8;16,6;61;
2011-01-31;72,7;32,4;26,4;20,7;69,3;
2011-02-28;105,6;30,6;25;20,1;72;
2011-03-31;101;29,1;21,6;15,4;69,1;
2011-04-30;110,2;26,4;19,1;13,5;71,3;
2011-05-31;73,2;20,6;14;9,6;77;
2011-06-30;115;17,3;11,5;7,4;77,6;
2011-07-31;126,5;16,5;10,8;6,7;75,2;
2011-08-31;107,4;18;12;7,6;74,4;
2011-09-30;69,5;22,3;15,2;9,5;69;
2011-10-31;114,6;23,7;17,5;11,9;72,3;
2011-11-30;75,3;28,6;20,9;13,9;60,4;
2011-12-31;59,1;26,8;21,1;15,6;62,2;
2012-01-31;20,6;30,3;24,1;17,7;57;
2012-02-29;208,5;29,2;24,3;20;72,2;
2012-03-31;93,8;26,9;21,6;17,1;68,9;
2012-04-30;109,8;21,9;16,9;13,1;75,7;
2012-05-31;14,2;22,2;16,4;12,3;79,4;
2012-06-30;117,3;17,6;12,4;8,7;78,2;
2012-07-31;69,1;15,2;9,3;5,1;76,3;
2012-08-31;133,7;21,9;16,7;12,9;77,3;
2012-09-30;146,6;20,6;15,8;11,7;74,8;
2012-10-31;238,4;23,4;18,9;14,7;76,8;
2012-11-30;63,8;27,8;22,1;16,6;65,1;
2012-12-31;197,4;29,4;24;18,6;68,1;
2013-01-31;175,8;27,8;22,6;17,1;68,2;
2013-02-28;119,8;27,6;22,4;18;75,2;
2013-03-31;38,7;24,7;19,3;14,4;71,5;
2013-04-30;129,6;23,8;17,9;13,5;74,5;
2013-05-31;156;18,7;13,9;10,5;79,6;
2013-06-30;77,3;17;11,9;8,2;82,1;
2013-07-31;53,7;17,2;11,9;7,9;77,9;
2013-08-31;116;16;10,8;6,8;75,9;
2013-09-30;177,2;20,7;15,3;11;76,2;
2013-10-31;233,1;22,4;17,2;12,4;76,2;
2013-11-30;235,7;25,5;20,6;15,7;74,3;
2013-12-31;41,7;31,1;24,7;18,3;63,4;
2014-01-31;267;30,4;25,1;20,5;70,8;
2014-02-28;257,9;29,3;24,1;20,5;76,4;
2014-03-31;214,8;25,1;20,1;15,9;74,7;
2014-04-30;62,5;22,9;18,1;14,6;77,2;
2014-05-31;42,3;19,3;14,4;11,1;83,1;
2014-06-30;113,4;17;12,4;9,3;82,7;
2014-07-31;271,9;18,6;13,1;9,4;83,8;
2014-08-31;61,7;20,3;14,1;9,7;74,4;
2014-09-30;184,9;21,1;16,2;12,3;80,7;
2014-10-31;275,6;24,4;19,5;15,2;76,6;
2014-11-30;130,2;26,8;21,2;16,1;69,8;
2014-12-31;199,3;27,7;22,5;18;71,7;
2015-01-31;162,3;28,6;23,3;18,9;74,5;
2015-02-28;87;28,6;23,3;18,8;73,9;
2015-03-31;27,5;28,2;22,3;17,7;69,2;
2015-04-30;17,1;26;19,3;14,6;68,3;
2015-05-31;131,7;21,1;15,8;12,5;78,3;
2015-06-30;192,7;18,4;13,6;10,4;80,3;
2015-07-31;254;17,6;13,1;9,9;84;
2015-08-31;168;22,3;17,4;14;79,6;
2015-09-30;266,5;19,6;14,7;11,1;76,8;
2015-10-31;407,6;21;16,4;12,6;80,9;
2015-11-30;104,1;23,8;19,3;15;76,5;
2015-12-31;224,4;27,3;22,6;18,5;76,6;
2016-01-31;75,4;29,6;24,6;20,1;71;
2016-02-29;89,3;30,7;25,1;20,6;70,9;
2016-03-31;223,3;25,3;20,7;17;78;
2016-04-30;367,9;22,8;19,3;16,8;86,3;
2016-05-31;81,2;16,7;12,4;9,3;84,7;
2016-06-30;29,1;15,5;10,3;6,8;80;
2016-07-31;115,2;16,5;12;8,9;82,8;
2016-08-31;98,9;20,2;14,2;10,3;77,2;
2016-09-30;54,8;19,4;14;9,4;78;
2016-10-31;106,6;23,4;18;13,3;74,9;
2016-11-30;80,6;26,4;20,6;14,7;63;
2016-12-31;98;29,8;24,2;18,3;63,1;
2017-01-31;196,9;29,7;24,5;19,7;72,2;
2017-02-28;138;29,5;24,7;20,5;75,2;
2017-03-31;248,7;27,4;21,6;16,5;73,1;
2017-04-30;198,8;23,4;18,2;14,4;75,1;
2017-05-31;259,5;20,3;16,3;13,1;83,8;
2017-06-30;121,8;19,6;14,5;10,9;80,9;
2017-07-31;33,1;21,5;15,8;11,7;73;
2017-08-31;185,7;21,4;15,3;11;77,9;
2017-09-30;222,3;23,1;18;14,2;81,4;
2017-10-31;297,7;22,9;17,5;13;72,7;
2017-11-30;30,4;26,4;19,8;13,8;62,1;
2017-12-31;55,1;31;24,5;18,4;60,6;
2018-01-31;56,6;30,8;24,9;19,2;64,9;
2018-02-28;47,5;30,7;24;17,8;60;
2018-03-31;140,2;28;21,7;16,3;65;
2018-04-30;106,3;28;22,1;18,1;77,5;
2018-05-31;109,8;20,6;16,1;13,2;81,2;
2018-06-30;81,2;16;10,9;7,4;81,9;
2018-07-31;168,6;16,1;11,6;8,5;84,6;
2018-08-31;153,2;17,3;11,8;7,6;80,4;
2018-09-30;230,9;22,4;17,3;13,6;81,6;
