Nome: PELOTAS
Codigo Estacao: 83985
Latitude: -31.78333333
Longitude: -52.41666666
Altitude: 13
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;114;28,8;23,9;19,7;79,9;
2010-02-28;245,1;29,3;24,6;20,9;83,9;
2010-03-31;53,3;27,6;22,4;18,2;82,6;
2010-04-30;79,2;25,1;18,6;14,2;81,8;
2010-05-31;171,9;21,1;16,5;13,3;87,1;
2010-06-30;106,2;18,6;13,4;9,7;85;
2010-07-31;206,9;18,4;12,4;8,2;84,4;
2010-08-31;38,7;17,7;12,4;8,5;85,2;
2010-09-30;139,3;20;15,8;12,4;83,2;
2010-10-31;33,3;21,7;16,4;11,6;78,9;
2010-11-30;70,1;24,7;18,6;13,5;76,3;
2010-12-31;74,2;27,9;22,2;17,1;75,5;
2011-01-31;59,2;30;24,9;21;79;
2011-02-28;98,5;28,6;23,5;20;79,7;
2011-03-31;144,4;26,8;21,5;17,2;79,8;
2011-04-30;99,7;24,7;18,5;14,1;84,4;
2011-05-31;118,4;21;15;11,1;84,9;
2011-06-30;116,2;17,7;12,4;8,7;84,6;
2011-07-31;71;16,3;11,2;7,5;85,6;
2011-08-31;114,2;17;12,5;9,2;86,4;
2011-09-30;59,5;20;14,4;10,1;81,7;
2011-10-31;91,5;22,2;17,4;13,5;81,1;
2011-11-30;51,3;25,3;19,8;15,1;76,2;
2011-12-31;52,3;26;20,6;16,2;79;
2012-01-31;84;28,4;22,7;17,9;78,3;
2012-02-29;136,6;29,9;24,2;20,2;81,8;
2012-03-31;83,5;28,1;21,5;16,6;80,9;
2012-04-30;52,6;23,7;17,4;12,8;81,9;
2012-05-31;5,1;23,9;16,8;12,2;84;
2012-06-30;78,4;19,5;12,3;7,3;81,9;
2012-07-31;113,3;16,8;10,4;5,6;81,4;
2012-08-31;128,3;22,9;16,8;12,6;84;
2012-09-30;115,3;21,3;16,2;12,3;81,2;
2012-10-31;106,5;23,6;19,2;15,9;81,2;
2012-11-30;52,1;27;21,3;16,6;75,9;
2012-12-31;133,4;29,3;23,6;18,7;75,1;
2013-01-31;110,9;27,5;22,3;17,5;76,5;
2013-02-28;177,3;28;22,8;19,1;80,9;
2013-03-31;27,6;25,8;19,7;15,2;80,4;
2013-04-30;147,4;24,5;18,3;13,8;82,3;
2013-05-31;84,1;20,6;14,6;10,6;85;
2013-06-30;75,8;18,4;12,5;8;84,7;
2013-07-31;56,6;17,8;11,6;7,2;83,7;
2013-08-31;95,3;17,1;11,3;7;83,7;
2013-09-30;133;21,1;15,7;11,5;83,3;
2013-10-31;214,7;22,1;18,3;13,5;81;
2013-11-30;136,3;24,9;21,1;16,9;80,1;
2013-12-31;74;29,2;24,5;18,9;75,2;
2014-01-31;182,6;30,5;24,8;20,6;79,5;
2014-02-28;220,6;29;24,2;20,9;83;
2014-03-31;146,3;26,2;21,1;17,2;83,8;
2014-04-30;100,6;24,2;18,9;15,1;85,2;
2014-05-31;62,2;20,4;14,8;10,8;88,7;
2014-06-30;141,3;18,2;13,3;9,6;89,2;
2014-07-31;207,2;18,9;13,9;10,5;88,4;
2014-08-31;82,9;20;14;9,5;84,6;
2014-09-30;135,6;21,1;16,7;12,9;84,6;
2014-10-31;254,3;23,9;19,4;15,8;82,9;
2014-11-30;104;26,4;21,2;16,8;77,3;
2014-12-31;138,2;27,9;22,5;18,9;78,8;
2015-01-31;234;29,1;24;20,1;80,1;
2015-02-28;91,9;27,9;23,5;20,3;82,2;
2015-03-31;105,1;27,6;22,1;18;82,5;
2015-04-30;36;25,7;18,9;13,9;81,7;
2015-05-31;145,7;22;16,3;12,5;86,4;
2015-06-30;140,7;19,4;13,4;9,2;84,8;
2015-07-31;226,9;18,3;13,5;10;89,5;
2015-08-31;105,7;22,6;17,7;14;84;
2015-09-30;252,6;19,7;15,2;11,6;82,7;
2015-10-31;199,1;20,6;16,7;13,7;85,4;
2015-11-30;158,8;23,1;19,1;15,8;81,4;
2015-12-31;156,9;26,8;22,4;18,9;82,1;
2016-01-31;68;29;23,9;19,8;79,6;
2016-02-29;91,8;30,3;24,5;20,3;80,1;
2016-03-31;190,2;25,7;20,9;17,4;86,1;
2016-04-30;249,2;24,1;null;17,3;87,4;
2016-05-31;80,4;18;13,8;10,7;87,3;
2016-06-30;17,2;15,6;10,5;7,3;85,1;
2016-07-31;85,1;17,4;12,3;8,7;86,9;
2016-08-31;144,2;19,8;13,9;10,1;85,9;
2016-09-30;85;18,8;14,1;10,6;85,4;
2016-10-31;84,6;22,1;17,5;13,9;83,8;
2016-11-30;111,9;25,2;19,6;14,6;77;
2016-12-31;91;28,5;22,7;18,1;78,4;
2017-01-31;130,2;28,9;23,9;19,7;82,4;
2017-02-28;122,8;30,3;24,9;21;85,5;
2017-03-31;98,6;27,1;21,7;17,4;84,3;
2017-04-30;66,1;24,3;19;15,5;81,8;
2017-05-31;222,7;21,3;16,7;13,4;90,1;
2017-06-30;97,7;20,6;14,5;10,6;86,4;
2017-07-31;26,3;21,6;14,8;10,2;83,9;
2017-08-31;199,9;21,4;15,3;10,9;85,1;
2017-09-30;175,5;22,6;18,3;15,3;87,6;
2017-10-31;180,3;22,9;18,2;14,1;81,4;
2017-11-30;30,6;25,3;19,1;13,7;75,1;
2017-12-31;50,8;27,9;22,5;18,3;79,4;
2018-01-31;209,7;29;23,7;19,5;79,2;
2018-02-28;60,6;28,4;22,4;17,5;80,4;
2018-03-31;93,5;27,3;20,7;15,9;83,9;
2018-04-30;93,5;27,8;21,8;18;86,4;
2018-05-31;25;22,1;16,4;12,7;86,4;
2018-06-30;100,4;16,9;11,4;7,6;86,8;
2018-07-31;287,3;17;12,5;9,3;88,3;
2018-08-31;84,1;17,5;12,6;9,1;86,5;
2018-09-30;227,7;21,8;17,5;14,4;87,6;
2018-10-31;117,3;22,4;17,8;13,9;80,8;
2018-11-30;52,9;26,3;21,2;16,7;77,7;
2018-12-31;44,7;28;22,2;17,8;76,6;
2019-01-31;266;29,3;24,6;21;84,5;
2019-02-28;75,7;28,5;23,2;19;82;
2019-03-31;24,5;27;21,3;17;82,2;
2019-04-30;85,6;25,3;19,6;15,7;87,3;
2019-05-31;87,9;22,2;17,3;13,9;90,5;
2019-06-30;39,2;22,7;16,2;11,9;87,2;
2019-07-31;130,8;17,2;11,5;7,6;87,3;
2019-08-31;103;18,7;12,9;8,5;86,1;
2019-09-30;147,8;20;14,7;10,4;83;
2019-10-31;264,9;23,3;18,5;14,6;85;
2019-11-30;101,7;25,4;21,1;17,3;79,1;
2019-12-31;38,3;28,9;null;17;null;
2020-01-31;38,5;29,3;23,6;19,1;80;
2020-02-29;32,2;29,4;23,2;18,5;76,2;
2020-03-31;38,8;29,3;22,9;18,3;81,5;
2020-04-30;101,8;24,8;18,6;14,6;80,4;
