Nome: RIO GRANDE
Codigo Estacao: 83995
Latitude: -32.078809
Longitude: -52.167725
Altitude: 4.89
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2015-01-18
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;64;28,7;24,5;21,6;82,2;
2010-02-28;266,8;28,8;25;22,1;84,8;
2010-03-31;31,6;27,2;23,1;19,5;79,4;
2010-04-30;102,1;24,5;19,6;15,6;76;
2010-05-31;163,1;21,3;17,5;14,7;85,8;
2010-06-30;89,8;18,3;13,9;10,4;83,7;
2010-07-31;212,4;17,1;13,2;9,4;82,5;
2010-08-31;39,6;17,1;13,1;10;82,8;
2010-09-30;118,6;19,4;15,8;12,9;80,4;
2010-10-31;46,6;21;17,1;13,5;73,2;
2010-11-30;39,7;23,5;19;15,2;72,7;
2010-12-31;37;26,7;22,6;19,9;71,7;
2011-01-31;36,4;29,3;25;21,6;77,1;
2011-02-28;135,6;28,8;23,9;20,4;80,3;
2011-03-31;407;26,3;22,4;19,1;76,3;
2011-04-30;105,6;24;19,4;15,3;80,4;
2011-05-31;156,1;20,4;16,2;12,9;81,5;
2011-06-30;134,2;17;13;9,9;85,5;
2011-07-31;43,5;15,5;11,4;8,3;85,9;
2011-08-31;151;16,2;12,6;9,9;84,5;
2011-09-30;59,6;19,2;14,9;11,6;76,2;
2011-10-31;68,7;21,6;17,6;14,1;82,5;
2011-11-30;45,6;24,4;20,2;16,3;77,1;
2011-12-31;41,2;25,5;21,2;17,1;77,8;
2012-01-31;39;27,7;23,4;19,5;76;
2012-02-29;77,6;30,1;24,8;20,9;79,1;
2012-03-31;118,2;28,2;22,5;17,2;73;
2012-04-30;81,1;23,7;18,3;13,3;75,2;
2012-05-31;7,8;22,9;17,7;14,1;80,7;
2012-06-30;74;18,3;12,7;8,2;79,8;
2012-07-31;104,8;16,2;11,1;6,9;78,5;
2012-08-31;113;21,1;16,6;13,4;81,2;
2012-09-30;137,8;20,5;16,5;13,5;76,4;
2012-10-31;90,2;22,6;19,1;16,4;81,1;
2012-11-30;51;26,2;21,6;18;73,9;
2012-12-31;136,4;28,7;23,9;19,8;68,3;
2013-01-31;78,8;25,7;22,7;19,1;68,8;
2013-02-28;192,3;27,6;23,5;20,2;71,9;
2013-03-31;27;25,2;20,6;16,2;69,2;
2013-04-30;157,2;23,8;19,1;15;75,8;
2013-05-31;89;20;15,3;11,3;81,3;
2013-06-30;118,8;17,4;13;9,5;79,6;
2013-07-31;68,2;17,3;12,1;8,6;80,8;
2013-08-31;106,4;16,4;12;8,5;79,7;
2013-09-30;112,1;19,6;15,4;12,1;81;
2013-10-31;118,4;21,4;17,3;14,1;79,1;
2013-11-30;149,2;24,3;20,4;17,1;77,4;
2013-12-31;52,4;27,8;23,4;19,7;71,6;
2014-01-31;217,8;29,8;24,9;21,3;72;
2014-02-28;167,6;28,5;24,4;21,4;77;
2014-03-31;184;25,7;21,5;18,2;76,5;
2014-04-30;65,8;23,9;19,5;16,6;77;
2014-05-31;33,2;20;15,2;11,6;81,5;
2014-06-30;149;18,1;13,8;10,9;83,8;
2014-07-31;200,7;18,3;14,4;11,6;83,3;
2014-08-31;40,4;19;14,1;10,4;80,6;
2014-09-30;106,6;20,4;16,4;13,2;81,3;
2014-10-31;251,8;23;19,2;16,5;78,9;
2014-11-30;66,2;25,1;21,4;18,3;71,4;
2014-12-31;150,4;27,1;22,9;19,4;73,1;
2015-01-31;null;29,3;24,7;21,5;74,1;

