Nome: SANTA VITORIA DO PALMAR
Codigo Estacao: 83997
Latitude: -33.53166666
Longitude: -53.35027777
Altitude: 24.01
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;81,9;28,1;23;18,8;76,3;
2010-02-28;273,2;27,6;23,2;19,8;81,9;
2010-03-31;134,2;26,8;21,7;17,8;79,1;
2010-04-30;128,6;23,8;18,1;14,1;78;
2010-05-31;47,3;20,3;16;13,1;83,5;
2010-06-30;65,2;17;12,3;9;81,1;
2010-07-31;154,9;16;11,2;7,7;84,7;
2010-08-31;42,6;16,5;11,6;8;83,1;
2010-09-30;137,4;18,8;14,2;11;83,3;
2010-10-31;19,2;20,8;15,5;11,2;75,1;
2010-11-30;65,3;23;17,2;12,7;74,8;
2010-12-31;26,3;27,9;21,6;16,7;71,1;
2011-01-31;75,7;29,1;23,6;19,6;78,1;
2011-02-28;118,3;26,9;22,2;18,6;75,3;
2011-03-31;73,5;25,6;20,6;16,8;75,7;
2011-04-30;160,6;23,6;18,1;14,1;79,9;
2011-05-31;178,6;19,2;14,2;10,8;83,3;
2011-06-30;117,7;16,2;11,6;8,5;84,6;
2011-07-31;128,5;14,5;10,1;7,1;85,5;
2011-08-31;159,4;15,2;11,3;8,2;83,6;
2011-09-30;62,4;18,7;13,6;9,7;77,5;
2011-10-31;123;20,7;15,9;12,7;81,2;
2011-11-30;16,5;24,7;19,1;14,7;73,9;
2011-12-31;48,1;24,7;20;16,1;75,2;
2012-01-31;13,1;28,4;22,6;18,1;70,1;
2012-02-29;139,8;28,2;23,4;19,9;79;
2012-03-31;63,8;26,4;20,9;16,8;80,1;
2012-04-30;39;22,7;17;13,2;80,2;
2012-05-31;16;22,3;16,6;13,3;82,9;
2012-06-30;120;16,7;11,2;7,5;82,4;
2012-07-31;41,3;14,7;8,9;4,9;79,2;
2012-08-31;96,4;19,1;14,6;11,3;86,8;
2012-09-30;31,2;19,9;14,7;10,9;81;
2012-10-31;111,8;21,9;17,5;14,6;83,5;
2012-11-30;41,4;25,4;20,2;16,4;75,6;
2012-12-31;187,6;28,2;22,7;18,2;72,5;
2013-01-31;27,5;27,8;22,2;17,6;71,3;
2013-02-28;222;26,7;22,1;18,6;75,1;
2013-03-31;52,3;24,3;19;14,7;74,7;
2013-04-30;111,7;23;17,8;14,2;81,5;
2013-05-31;113,9;18,5;14;10,9;83,6;
2013-06-30;33,2;16,9;11,5;7,8;82,9;
2013-07-31;90,5;15,6;10,9;7,7;83,7;
2013-08-31;114,9;15,8;10,7;7,2;79,5;
2013-09-30;223,8;19,5;14,4;11,1;82;
2013-10-31;29,3;21,5;16,5;12,5;79,7;
2013-11-30;88,6;23,8;19,1;15,9;80,2;
2013-12-31;59,7;29,3;22,9;18,1;70,8;
2014-01-31;187,3;28,8;23,7;20;79,5;
